I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-9,-29,-19,19,4,-24,87,175,78,9,-29,-39
-9,-29,-19,19,4,-24,87,175,78,9,-29,-39
-9,-29,-19,19,4,-24,87,175,78,9,-29,-39
-9,-29,-19,19,4,-24,87,175,78,9,-29,-39
-19,-19,0,19,-9,-9,92,190,87,14,-29,-39
-19,-19,0,19,-9,-9,97,195,87,19,-29,-39
-19,-19,0,19,-9,-9,102,200,87,24,-29,-39
-19,-19,0,19,-9,-9,107,204,87,29,-29,-39
-19,-29,-9,24,-4,-19,117,219,92,19,-29,-39
-19,-29,-9,24,-4,-19,117,224,97,19,-29,-39
-19,-29,-9,24,-4,-19,117,229,102,19,-29,-39
-19,-29,-9,24,-4,-19,117,234,107,19,-29,-39
-9,-29,-19,19,4,-24,117,248,112,29,-34,-43
-9,-29,-19,19,4,-24,117,253,117,29,-39,-48
-9,-29,-19,19,4,-24,117,258,122,29,-43,-53
-9,-29,-19,19,4,-24,117,263,126,29,-48,-58
-9,-19,-9,14,0,-14,131,278,136,39,-39,-48
-9,-19,-9,14,0,-14,136,283,136,39,-39,-48
-9,-19,-9,14,0,-14,141,287,136,39,-39,-48
-9,-19,-9,14,0,-14,146,292,136,39,-39,-48
-14,-29,-14,21,0,-21,151,312,146,43,-29,-39
-19,-29,-9,24,-4,-19,156,322,156,48,-29,-39
-24,-29,-4,26,-9,-17,161,331,165,53,-29,-39
-29,-29,0,29,-14,-14,165,341,175,58,-29,-39
-19,-19,0,19,-9,-9,170,346,185,48,-29,-48
-19,-19,0,19,-9,-9,175,351,185,48,-29,-48
-19,-19,0,19,-9,-9,180,356,185,48,-29,-48
-19,-19,0,19,-9,-9,185,361,185,48,-29,-48
-29,-19,9,24,-19,-4,190,366,195,48,-39,-48
-29,-19,9,24,-19,-4,195,370,195,48,-39,-48
-29,-19,9,24,-19,-4,200,375,195,48,-39,-48
-29,-19,9,24,-19,-4,204,380,195,48,-39,-48
-29,-9,19,19,-24,4,209,390,195,34,-53,-63
-29,-9,19,19,-24,4,214,390,195,29,-58,-68
-29,-9,19,19,-24,4,219,390,195,24,-63,-73
-29,-9,19,19,-24,4,224,390,195,19,-68,-78
-39,-9,29,24,-34,9,224,400,185,9,-73,-87
-39,-9,29,24,-34,9,224,400,185,9,-78,-87
-39,-9,29,24,-34,9,224,400,185,9,-82,-87
-39,-9,29,24,-34,9,224,400,185,9,-87,-87
-43,-14,29,29,-36,7,239,400,195,4,-97,-97
-48,-19,29,34,-39,4,244,400,195,0,-97,-97
-53,-24,29,39,-41,2,248,400,195,-4,-97,-97
-58,-29,29,43,-43,0,253,400,195,-9,-97,-97
-68,-29,39,48,-53,4,263,400,190,-14,-102,-97
-68,-29,39,48,-53,4,263,400,185,-19,-107,-97
-68,-29,39,48,-53,4,263,400,180,-24,-112,-97
-68,-29,39,48,-53,4,263,400,175,-29,-117,-97
-78,-29,48,53,-63,9,273,395,185,-29,-107,-107
-78,-29,48,53,-63,9,273,390,185,-29,-107,-107
-78,-29,48,53,-63,9,273,385,185,-29,-107,-107
-78,-29,48,53,-63,9,273,380,185,-29,-107,-107
-78,-14,63,46,-70,24,263,375,175,-29,-107,-92
-78,-9,68,43,-73,29,263,370,175,-29,-107,-87
-78,-4,73,41,-75,34,263,366,175,-29,-107,-82
-78,0,78,39,-78,39,263,361,175,-29,-107,-78
-68,9,78,29,-73,43,253,341,175,-19,-102,-87
-68,9,78,29,-73,43,244,331,175,-19,-97,-87
-68,9,78,29,-73,43,234,322,175,-19,-92,-87
-68,9,78,29,-73,43,224,312,175,-19,-87,-87
-58,9,68,24,-63,39,219,292,165,-4,-73,-78
-58,9,68,24,-63,39,214,283,165,0,-68,-68
-58,9,68,24,-63,39,209,273,165,4,-63,-58
-58,9,68,24,-63,39,204,263,165,9,-58,-48
-53,19,73,17,-63,46,185,248,161,14,-48,-34
-48,19,68,14,-58,43,175,234,156,19,-39,-29
-43,19,63,12,-53,41,165,219,151,24,-29,-24
-39,19,58,9,-48,39,156,204,146,29,-19,-19
-29,24,53,2,-41,39,141,180,141,39,-4,-14
-29,29,58,0,-43,43,126,165,136,39,0,-9
-29,34,63,-2,-46,48,112,151,131,39,4,-4
-29,39,68,-4,-48,53,97,136,126,39,9,0
-24,39,63,-7,-43,51,87,122,112,39,19,0
-19,39,58,-9,-39,48,78,107,107,39,19,0
-14,39,53,-12,-34,46,68,92,102,39,19,0
-9,39,48,-14,-29,43,58,78,97,39,19,0
-9,29,39,-9,-24,34,53,58,82,39,24,4
-9,29,39,-9,-24,34,48,48,78,39,29,9
-9,29,39,-9,-24,34,43,39,73,39,34,14
-9,29,39,-9,-24,34,39,29,68,39,39,19
-9,19,29,-4,-19,24,24,19,63,34,39,9
-9,19,29,-4,-19,24,19,9,58,29,39,9
-9,19,29,-4,-19,24,14,0,53,24,39,9
-9,19,29,-4,-19,24,9,-9,48,19,39,9
-9,19,29,-4,-19,24,0,-24,43,9,29,19
-9,19,29,-4,-19,24,0,-29,39,9,29,19
-9,19,29,-4,-19,24,0,-34,34,9,29,19
-9,19,29,-4,-19,24,0,-39,29,9,29,19
0,19,19,-9,-9,19,-9,-43,24,9,19,14
0,19,19,-9,-9,19,-9,-48,19,9,19,9
0,19,19,-9,-9,19,-9,-53,14,9,19,4
0,19,19,-9,-9,19,-9,-58,9,9,19,0
0,19,19,-9,-9,19,-19,-58,9,0,19,9
0,19,19,-9,-9,19,-19,-58,9,0,19,9
0,19,19,-9,-9,19,-19,-58,9,0,19,9
0,19,19,-9,-9,19,-19,-58,9,0,19,9
0,19,19,-9,-9,19,-19,-68,0,9,19,0
0,19,19,-9,-9,19,-19,-68,0,9,19,0
0,19,19,-9,-9,19,-19,-68,0,9,19,0
0,19,19,-9,-9,19,-19,-68,0,9,19,0
0,29,29,-14,-14,29,-19,-58,9,9,29,9
0,29,29,-14,-14,29,-19,-58,9,9,29,9
0,29,29,-14,-14,29,-19,-58,9,9,29,9
0,29,29,-14,-14,29,-19,-58,9,9,29,9
-9,24,34,-7,-21,29,-19,-48,9,4,24,0
-9,19,29,-4,-19,24,-19,-48,9,0,19,0
-9,14,24,-2,-17,19,-19,-48,9,-4,14,0
-9,9,19,0,-14,14,-19,-48,9,-9,9,0
-9,4,14,2,-12,9,-9,-48,9,0,19,0
-9,0,9,4,-9,4,-9,-48,9,0,19,0
-9,-4,4,7,-7,0,-9,-48,9,0,19,0
-9,-9,0,9,-4,-4,-9,-48,9,0,19,0
-9,-4,4,7,-7,0,-19,-48,9,0,9,0
-9,0,9,4,-9,4,-19,-48,9,0,9,0
-9,4,14,2,-12,9,-19,-48,9,0,9,0
-9,9,19,0,-14,14,-19,-48,9,0,9,0
-9,9,19,0,-14,14,-19,-48,0,-9,0,-9
-9,9,19,0,-14,14,-19,-48,0,-9,0,-9
-9,9,19,0,-14,14,-19,-48,0,-9,0,-9
-9,9,19,0,-14,14,-19,-48,0,-9,0,-9
0,9,9,-4,-4,9,-9,-48,4,-4,4,0
0,9,9,-4,-4,9,-9,-48,9,0,9,0
0,9,9,-4,-4,9,-9,-48,14,4,14,0
0,9,9,-4,-4,9,-9,-48,19,9,19,0
9,19,9,-14,0,14,-9,-39,19,9,19,-9
9,19,9,-14,0,14,-9,-39,19,9,19,-9
9,19,9,-14,0,14,-9,-39,19,9,19,-9
9,19,9,-14,0,14,-9,-39,19,9,19,-9
0,19,19,-9,-9,19,-14,-48,9,4,9,0
0,19,19,-9,-9,19,-19,-48,9,0,9,0
0,19,19,-9,-9,19,-24,-48,9,-4,9,0
0,19,19,-9,-9,19,-29,-48,9,-9,9,0
0,29,29,-14,-14,29,-19,-48,9,0,19,9
0,29,29,-14,-14,29,-19,-48,9,0,19,9
0,29,29,-14,-14,29,-19,-48,9,0,19,9
0,29,29,-14,-14,29,-19,-48,9,0,19,9
0,29,29,-14,-14,29,-19,-39,9,0,19,9
0,29,29,-14,-14,29,-19,-39,9,0,19,9
0,29,29,-14,-14,29,-19,-39,9,0,19,9
0,29,29,-14,-14,29,-19,-39,9,0,19,9
0,19,19,-9,-9,19,-19,-39,9,9,19,0
0,19,19,-9,-9,19,-19,-39,9,9,19,0
0,19,19,-9,-9,19,-19,-39,9,9,19,0
0,19,19,-9,-9,19,-19,-39,9,9,19,0
0,19,19,-9,-9,19,-19,-43,0,9,19,9
0,19,19,-9,-9,19,-19,-48,0,9,19,9
0,19,19,-9,-9,19,-19,-53,0,9,19,9
0,19,19,-9,-9,19,-19,-58,0,9,19,9
0,9,9,-4,-4,9,-19,-48,0,0,14,0
0,9,9,-4,-4,9,-19,-48,0,0,9,0
0,9,9,-4,-4,9,-19,-48,0,0,4,0
0,9,9,-4,-4,9,-19,-48,0,0,0,0
0,0,0,0,0,0,-19,-48,0,9,4,0
0,0,0,0,0,0,-19,-48,0,9,9,0
0,0,0,0,0,0,-19,-48,0,9,14,0
0,0,0,0,0,0,-19,-48,0,9,19,0
-9,9,19,0,-14,14,-19,-48,-4,4,9,0
-9,9,19,0,-14,14,-19,-48,-9,0,9,0
-9,9,19,0,-14,14,-19,-48,-14,-4,9,0
-9,9,19,0,-14,14,-19,-48,-19,-9,9,0
0,14,14,-7,-7,14,-29,-63,-29,-19,0,0
0,19,19,-9,-9,19,-29,-68,-29,-19,0,0
0,24,24,-12,-12,24,-29,-73,-29,-19,0,0
0,29,29,-14,-14,29,-29,-78,-29,-19,0,0
0,29,29,-14,-14,29,-39,-78,-29,-19,0,0
0,29,29,-14,-14,29,-39,-78,-29,-19,0,0
0,29,29,-14,-14,29,-39,-78,-29,-19,0,0
0,29,29,-14,-14,29,-39,-78,-29,-19,0,0
-9,19,29,-4,-19,24,-39,-87,-29,-29,0,0
-9,19,29,-4,-19,24,-39,-87,-29,-29,0,0
-9,19,29,-4,-19,24,-39,-87,-29,-29,0,0
-9,19,29,-4,-19,24,-39,-87,-29,-29,0,0
-9,9,19,0,-14,14,-39,-87,-39,-39,-9,-4
-9,9,19,0,-14,14,-39,-87,-39,-39,-9,-9
-9,9,19,0,-14,14,-39,-87,-39,-39,-9,-14
-9,9,19,0,-14,14,-39,-87,-39,-39,-9,-19
0,19,19,-9,-9,19,-39,-97,-39,-29,-9,-9
0,19,19,-9,-9,19,-39,-97,-39,-29,-9,-9
0,19,19,-9,-9,19,-39,-97,-39,-29,-9,-9
0,19,19,-9,-9,19,-39,-97,-39,-29,-9,-9
0,19,19,-9,-9,19,-39,-97,-39,-39,-9,-9
0,19,19,-9,-9,19,-39,-97,-39,-39,-9,-9
0,19,19,-9,-9,19,-39,-97,-39,-39,-9,-9
0,19,19,-9,-9,19,-39,-97,-39,-39,-9,-9
-9,19,29,-4,-19,24,-48,-107,-39,-29,-9,-9
-9,19,29,-4,-19,24,-48,-107,-39,-29,-9,-9
-9,19,29,-4,-19,24,-48,-107,-39,-29,-9,-9
-9,19,29,-4,-19,24,-48,-107,-39,-29,-9,-9
-9,14,24,-2,-17,19,-39,-97,-39,-39,0,-9
-9,9,19,0,-14,14,-39,-97,-39,-39,0,-9
-9,4,14,2,-12,9,-39,-97,-39,-39,0,-9
-9,0,9,4,-9,4,-39,-97,-39,-39,0,-9
-9,9,19,0,-14,14,-39,-107,-48,-48,-4,-19
-9,9,19,0,-14,14,-39,-107,-48,-48,-9,-19
-9,9,19,0,-14,14,-39,-107,-48,-48,-14,-19
-9,9,19,0,-14,14,-39,-107,-48,-48,-19,-19
-9,19,29,-4,-19,24,-48,-107,-48,-39,-9,-14
-9,19,29,-4,-19,24,-48,-107,-48,-39,-9,-9
-9,19,29,-4,-19,24,-48,-107,-48,-39,-9,-4
-9,19,29,-4,-19,24,-48,-107,-48,-39,-9,0
-9,19,29,-4,-19,24,-48,-107,-48,-39,0,0
-9,19,29,-4,-19,24,-48,-107,-48,-39,0,0
-9,19,29,-4,-19,24,-48,-107,-48,-39,0,0
-9,19,29,-4,-19,24,-48,-107,-48,-39,0,0
0,19,19,-9,-9,19,-48,-117,-58,-39,-4,0
0,19,19,-9,-9,19,-48,-117,-58,-39,-9,0
0,19,19,-9,-9,19,-48,-117,-58,-39,-14,0
0,19,19,-9,-9,19,-48,-117,-58,-39,-19,0
0,24,24,-12,-12,24,-53,-126,-58,-48,-9,-4
0,29,29,-14,-14,29,-58,-126,-58,-48,-9,-9
0,34,34,-17,-17,34,-63,-126,-58,-48,-9,-14
0,39,39,-19,-19,39,-68,-126,-58,-48,-9,-19
-9,34,43,-12,-26,39,-58,-117,-58,-48,-19,-19
-9,29,39,-9,-24,34,-58,-117,-58,-48,-19,-19
-9,24,34,-7,-21,29,-58,-117,-58,-48,-19,-19
-9,19,29,-4,-19,24,-58,-117,-58,-48,-19,-19
-9,9,19,0,-14,14,-48,-117,-58,-39,-19,-19
-9,9,19,0,-14,14,-48,-117,-58,-39,-19,-19
