I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-19,-87,-68,53,24,-78,117,175,136,-19,-48,-136
-19,-87,-68,53,24,-78,117,175,136,-19,-48,-136
-19,-87,-68,53,24,-78,117,175,136,-19,-48,-136
-19,-87,-68,53,24,-78,117,175,136,-19,-48,-136
-29,-87,-58,58,14,-73,126,180,146,-9,-39,-146
-29,-87,-58,58,14,-73,126,185,146,-9,-39,-146
-29,-87,-58,58,14,-73,126,190,146,-9,-39,-146
-29,-87,-58,58,14,-73,126,195,146,-9,-39,-146
-19,-87,-68,53,24,-78,117,195,146,-9,-48,-146
-19,-87,-68,53,24,-78,117,195,146,-9,-48,-146
-19,-87,-68,53,24,-78,117,195,146,-9,-48,-146
-19,-87,-68,53,24,-78,117,195,146,-9,-48,-146
-19,-97,-78,58,29,-87,126,200,151,-9,-39,-136
-19,-97,-78,58,29,-87,126,204,156,-9,-39,-136
-19,-97,-78,58,29,-87,126,209,161,-9,-39,-136
-19,-97,-78,58,29,-87,126,214,165,-9,-39,-136
-19,-87,-68,53,24,-78,126,224,170,-4,-39,-146
-19,-87,-68,53,24,-78,126,224,175,0,-39,-146
-19,-87,-68,53,24,-78,126,224,180,4,-39,-146
-19,-87,-68,53,24,-78,126,224,185,9,-39,-146
-9,-87,-78,48,34,-82,117,224,185,9,-34,-156
-9,-87,-78,48,34,-82,117,224,185,9,-29,-156
-9,-87,-78,48,34,-82,117,224,185,9,-24,-156
-9,-87,-78,48,34,-82,117,224,185,9,-19,-156
-19,-92,-73,56,26,-82,126,229,190,9,-24,-151
-19,-97,-78,58,29,-87,126,234,195,9,-29,-146
-19,-102,-82,61,31,-92,126,239,200,9,-34,-141
-19,-107,-87,63,34,-97,126,244,204,9,-39,-136
-19,-107,-87,63,34,-97,126,248,209,14,-29,-146
-19,-107,-87,63,34,-97,126,253,214,19,-29,-146
-19,-107,-87,63,34,-97,126,258,219,24,-29,-146
-19,-107,-87,63,34,-97,126,263,224,29,-29,-146
-9,-97,-87,53,39,-92,136,273,229,39,-29,-146
-9,-97,-87,53,39,-92,136,273,234,39,-29,-146
-9,-97,-87,53,39,-92,136,273,239,39,-29,-146
