I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
29,58,29,-43,0,43,-58,39,273,165,97,78
28,57,29,-42,0,43,-60,38,272,164,96,77
28,57,29,-42,0,43,-62,38,272,164,96,77
29,58,29,-43,0,43,-65,39,273,165,97,78
29,58,29,-43,0,43,-67,39,273,165,97,78
28,57,29,-42,0,43,-68,38,272,163,96,77
28,57,29,-42,0,43,-68,38,272,161,96,77
29,58,29,-43,0,43,-67,39,273,158,97,78
29,58,29,-43,0,43,-67,39,273,156,97,78
28,57,29,-42,0,43,-70,37,270,155,95,76
28,57,29,-42,0,43,-72,34,268,155,92,73
29,58,29,-43,0,43,-75,31,265,156,89,70
29,58,29,-43,0,43,-77,29,263,156,87,68
28,57,29,-42,0,43,-79,28,258,153,86,67
28,57,29,-42,0,43,-81,28,253,151,86,67
29,58,29,-43,0,43,-84,29,247,148,87,68
29,58,29,-43,0,43,-86,29,244,146,87,68
28,57,29,-42,0,43,-87,28,243,145,86,67
28,57,29,-42,0,43,-87,28,243,145,86,67
29,58,29,-43,0,43,-86,29,244,146,87,68
29,58,29,-43,0,43,-86,29,244,146,87,68
28,57,29,-42,0,43,-86,28,241,145,84,67
28,57,29,-42,0,43,-86,28,239,145,82,67
29,58,29,-43,0,43,-87,29,236,146,79,68
29,58,29,-43,0,43,-87,29,234,146,78,68
28,55,27,-41,0,41,-84,28,231,145,77,67
28,53,25,-40,1,39,-82,28,229,145,77,67
29,50,21,-39,4,35,-79,29,226,146,78,68
29,48,19,-38,5,33,-78,29,224,146,78,68
28,45,17,-36,5,31,-77,28,221,141,77,65
28,43,15,-35,6,29,-77,28,219,136,77,63
29,40,11,-34,9,25,-78,29,217,131,79,60
29,39,10,-34,9,24,-78,29,214,126,78,58
27,36,9,-31,9,22,-77,27,205,119,71,53
24,34,10,-29,7,22,-77,24,195,112,63,48
21,31,10,-26,5,20,-78,21,184,104,54,43
19,29,10,-24,4,19,-78,19,175,97,48,39
18,28,10,-23,4,19,-77,18,167,91,43,36
18,28,10,-23,4,19,-77,18,161,87,39,34
19,29,10,-24,4,19,-78,19,154,83,34,31
19,29,10,-24,4,19,-78,19,146,78,29,29
14,26,12,-20,1,19,-76,18,136,68,21,24
9,24,15,-16,-3,19,-73,18,126,58,14,19
3,21,18,-12,-7,19,-70,19,116,48,6,13
0,19,19,-9,-9,19,-68,19,107,39,0,9
-2,14,16,-6,-9,15,-67,18,97,29,-4,4
-3,9,12,-3,-7,10,-67,18,87,19,-8,0
-6,3,9,1,-7,6,-68,19,77,9,-13,-4
-8,0,8,4,-8,4,-68,19,68,0,-18,-8
-11,0,11,5,-11,5,-67,17,60,-9,-26,-13
-13,0,13,6,-13,6,-67,14,53,-18,-33,-18
-16,0,16,8,-16,8,-68,11,46,-29,-41,-24
-18,0,18,9,-18,9,-68,9,39,-38,-47,-28
-19,0,19,9,-19,9,-65,8,31,-44,-53,-31
-19,0,19,9,-19,9,-63,8,24,-47,-57,-33
-18,0,18,9,-18,9,-60,9,15,-52,-63,-36
-18,0,18,9,-18,9,-58,9,9,-57,-67,-38
-23,-1,22,12,-22,10,-55,6,5,-62,-70,-41
-28,-3,25,15,-26,11,-53,4,4,-67,-72,-42
-34,-6,28,20,-31,11,-50,1,2,-73,-75,-45
-38,-8,30,23,-34,11,-48,0,0,-77,-77,-47
