I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-68,-224,-156,146,43,-190,-97,-234,-234,-195,-195,-292
-68,-224,-156,146,43,-190,-97,-234,-234,-195,-195,-292
-68,-224,-156,146,43,-190,-97,-234,-234,-195,-195,-292
-68,-224,-156,146,43,-190,-97,-234,-234,-195,-195,-292
-107,-200,-92,153,-7,-146,-73,-195,-190,-156,-170,-258
-146,-185,-39,165,-53,-112,-48,-156,-156,-126,-156,-234
-185,-170,14,178,-100,-78,-24,-117,-122,-97,-141,-209
-224,-156,68,190,-146,-43,0,-78,-87,-68,-126,-185
-239,-156,82,197,-161,-36,19,-29,-68,-48,-136,-170
-244,-156,87,200,-165,-34,39,9,-48,-29,-136,-156
-248,-156,92,202,-170,-31,58,48,-29,-9,-136,-141
-253,-156,97,204,-175,-29,78,87,-9,9,-136,-126
-244,-141,102,192,-173,-19,82,107,0,9,-141,-107
-244,-136,107,190,-175,-14,87,117,0,9,-146,-97
-244,-131,112,187,-178,-9,92,126,0,9,-151,-87
-244,-126,117,185,-180,-4,97,136,0,9,-156,-78
-234,-117,117,175,-175,0,107,146,9,0,-170,-58
-234,-117,117,175,-175,0,117,156,9,0,-175,-48
-234,-117,117,175,-175,0,126,165,9,0,-180,-39
-234,-117,117,175,-175,0,136,175,9,0,-185,-29
-234,-107,126,170,-180,9,156,185,14,9,-190,-4
-234,-97,136,165,-185,19,165,185,19,9,-195,9
-234,-87,146,161,-190,29,175,185,24,9,-200,24
-234,-78,156,156,-195,39,185,185,29,9,-204,39
-219,-68,151,143,-185,41,195,165,39,14,-195,53
-214,-58,156,136,-185,48,195,156,39,19,-195,68
-209,-48,161,129,-185,56,195,146,39,24,-195,82
-204,-39,165,122,-185,63,195,136,39,29,-195,97
-190,-19,170,104,-180,75,195,122,48,29,-204,117
-185,-9,175,97,-180,82,195,117,48,29,-204,136
-180,0,180,90,-180,90,195,112,48,29,-204,156
-175,9,185,82,-180,97,195,107,48,29,-204,175
-165,14,180,75,-173,97,185,107,53,39,-204,195
-156,19,175,68,-165,97,175,107,58,39,-204,204
-146,24,170,61,-158,97,165,107,63,39,-204,214
-136,29,165,53,-151,97,156,107,68,39,-204,224
-136,19,156,58,-146,87,146,117,68,34,-209,239
-136,19,156,58,-146,87,136,117,68,29,-214,244
-136,19,156,58,-146,87,126,117,68,24,-219,248
-136,19,156,58,-146,87,117,117,68,19,-224,253
-146,19,165,63,-156,92,112,131,73,19,-214,258
-146,19,165,63,-156,92,107,136,78,19,-214,263
-146,19,165,63,-156,92,102,141,82,19,-214,268
-146,19,165,63,-156,92,97,146,87,19,-214,273
-141,9,151,65,-146,80,117,156,102,9,-204,263
-136,9,146,63,-141,78,126,156,107,9,-204,263
-131,9,141,61,-136,75,136,156,112,9,-204,263
-126,9,136,58,-131,73,146,156,117,9,-204,263
-97,9,107,43,-102,58,136,151,107,0,-219,244
-78,9,87,34,-82,48,136,146,107,-9,-224,224
-58,9,68,24,-63,39,136,141,107,-19,-229,204
-39,9,48,14,-43,29,136,136,107,-29,-234,185
-68,9,78,29,-73,43,161,161,126,-14,-214,195
-97,9,107,43,-102,58,175,175,146,0,-204,195
-126,9,136,58,-131,73,190,190,165,14,-195,195
-156,9,165,73,-161,87,204,204,185,29,-185,195
-151,19,170,65,-161,95,195,204,175,19,-190,165
-146,19,165,63,-156,92,195,204,175,19,-195,146
-141,19,161,61,-151,90,195,204,175,19,-200,126
-136,19,156,58,-146,87,195,204,175,19,-204,107
-131,9,141,61,-136,75,190,219,175,24,-209,82
-126,9,136,58,-131,73,185,224,175,29,-214,68
-122,9,131,56,-126,70,180,229,175,34,-219,53
-117,9,126,53,-122,68,175,234,175,39,-224,39
-136,14,151,61,-143,82,185,253,185,53,-214,19
