I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-488,-9,478,248,-483,234,107,146,58,48,0,-9
-488,-9,478,248,-483,234,107,146,58,48,0,-9
-488,-9,478,248,-483,234,107,146,58,48,0,-9
-488,-9,478,248,-483,234,107,146,58,48,0,-9
-483,4,488,239,-485,246,97,151,97,102,39,14
-478,19,497,229,-488,258,87,156,126,156,78,29
-473,34,507,219,-490,270,78,161,156,209,117,43
-468,48,517,209,-492,283,68,165,185,263,156,58
-458,73,531,192,-495,302,43,131,117,263,204,92
-458,87,546,185,-502,317,29,97,58,263,253,117
-458,102,561,178,-509,331,14,63,0,263,302,141
-458,117,575,170,-517,346,0,29,-58,263,351,165
-439,141,580,148,-509,361,-82,-87,-263,165,458,258
-429,165,595,131,-512,380,-156,-204,-468,68,556,341
-419,190,610,114,-514,400,-229,-322,-673,-29,653,424
-409,214,624,97,-517,419,-302,-439,-878,-126,751,507
-380,263,644,58,-512,453,-409,-614,-1132,-268,936,683
-361,302,663,29,-512,483,-517,-780,-1385,-400,1122,858
-341,341,683,0,-512,512,-624,-946,-1639,-531,1307,1034
-322,380,702,-29,-512,541,-732,-1112,-1893,-663,1493,1210
-292,356,649,-31,-470,502,-785,-1195,-1995,-707,1683,1361
-273,331,605,-29,-439,468,-839,-1268,-2098,-751,1873,1503
-253,307,561,-26,-407,434,-893,-1342,-2200,-795,2064,1644
-234,283,517,-24,-375,400,-946,-1415,-2303,-839,2254,1786
-214,253,468,-19,-341,361,-936,-1351,-2166,-722,2449,1952
-204,224,429,-9,-317,326,-927,-1288,-2030,-605,2644,2108
-195,195,390,0,-292,292,-917,-1224,-1893,-488,2840,2264
-185,165,351,9,-268,258,-907,-1161,-1756,-370,3035,2420
-151,136,287,7,-219,212,-873,-1058,-1571,-273,3025,2562
-126,107,234,9,-180,170,-839,-966,-1385,-185,3015,2703
-102,78,180,12,-141,129,-805,-873,-1200,-97,3006,2845
-78,48,126,14,-102,87,-771,-780,-1015,-9,2996,2986
-102,34,136,34,-119,85,-707,-722,-946,-97,2674,2898
-117,19,136,48,-126,78,-644,-663,-888,-175,2352,2810
-131,4,136,63,-134,70,-580,-605,-829,-253,2030,2723
-146,-9,136,78,-141,63,-517,-546,-771,-331,1708,2635
-180,-29,151,104,-165,61,-448,-492,-702,-341,1429,2376
-214,-39,175,126,-195,68,-380,-439,-644,-351,1161,2127
-248,-48,200,148,-224,75,-312,-385,-585,-361,893,1878
-283,-58,224,170,-253,82,-244,-331,-527,-370,624,1629
-312,-19,292,165,-302,136,-214,-278,-448,-307,527,1415
-331,19,351,156,-341,185,-185,-234,-370,-253,429,1210
-351,58,409,146,-380,234,-156,-190,-292,-200,331,1005
-370,97,468,136,-419,283,-126,-146,-214,-146,234,800
-390,126,517,131,-453,322,-97,-97,-146,-102,195,663
-409,156,566,126,-488,361,-68,-58,-87,-58,156,527
-429,185,614,122,-522,400,-39,-19,-29,-14,117,390
-448,214,663,117,-556,439,-9,19,29,29,78,253
-458,180,639,139,-549,409,9,53,58,48,58,200
-458,146,605,156,-531,375,29,87,87,68,48,156
-458,112,570,173,-514,341,48,122,117,87,39,112
-458,78,536,190,-497,307,68,156,146,107,29,68
-448,63,512,192,-480,287,87,175,165,117,9,29
-448,48,497,200,-473,273,97,195,175,117,-9,0
-448,34,483,207,-466,258,107,214,185,117,-29,-29
