I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-39,0,39,19,-39,19,14,-19,-24,-122,-87,-29
-40,0,40,20,-40,20,12,-18,-21,-116,-78,-22
-39,0,39,19,-39,19,9,-18,-19,-107,-73,-19
-36,0,36,18,-36,18,5,-19,-16,-96,-68,-16
-34,3,37,15,-35,20,4,-19,-14,-87,-63,-14
-33,10,43,11,-38,26,3,-16,-11,-79,-55,-11
-33,18,51,7,-42,34,4,-14,-9,-73,-48,-9
-33,28,61,2,-47,44,3,-11,-6,-67,-43,-6
-33,33,66,0,-49,49,3,-9,-4,-63,-39,-4
-34,32,66,1,-50,49,6,-8,-1,-57,-34,0
-34,29,63,2,-48,46,8,-8,0,-53,-29,3
-31,28,59,1,-45,43,9,-9,1,-50,-24,9
-29,29,58,0,-43,43,8,-9,3,-48,-19,13
-28,27,55,0,-41,41,10,-4,8,-41,-13,14
-28,24,52,2,-40,38,13,0,13,-34,-9,14
-29,21,50,4,-39,35,17,2,19,-28,-5,14
-29,19,48,5,-38,33,19,3,23,-24,-4,14
-28,16,44,6,-36,30,17,7,28,-19,-3,12
-28,14,42,7,-35,28,14,13,33,-14,-3,9
-29,11,40,9,-34,25,12,22,40,-6,-4,6
-29,9,38,10,-33,23,13,28,47,0,-4,4
-28,4,32,12,-30,18,18,32,56,4,-2,3
-28,0,28,14,-28,14,23,33,67,8,0,3
-28,-4,24,16,-26,10,27,36,81,14,2,4
-28,-8,20,18,-24,6,28,38,91,18,3,4
-29,-11,18,20,-23,3,29,40,96,21,4,0
-29,-13,16,21,-22,1,29,42,96,23,3,-3
-28,-16,12,22,-20,-2,27,48,98,26,4,-6
-28,-18,10,23,-19,-4,28,52,101,28,4,-8
-29,-23,6,26,-17,-8,36,54,107,29,0,-11
-29,-28,1,28,-15,-13,47,53,111,29,-3,-13
-28,-34,-6,31,-11,-20,57,51,114,28,-7,-17
-28,-38,-10,33,-9,-24,62,52,116,28,-8,-18
-31,-41,-10,36,-10,-25,63,57,120,31,-9,-18
