I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
419,936,517,-678,-48,727,-1395,-1288,29,1639,1385,995
419,936,517,-678,-48,727,-1395,-1288,29,1639,1385,995
419,936,517,-678,-48,727,-1395,-1288,29,1639,1385,995
419,936,517,-678,-48,727,-1395,-1288,29,1639,1385,995
366,995,629,-680,-131,812,-1356,-1424,29,1493,1342,995
312,1044,732,-678,-209,888,-1317,-1561,29,1356,1298,995
258,1093,834,-675,-287,963,-1278,-1698,29,1220,1254,995
204,1141,936,-673,-366,1039,-1239,-1834,29,1083,1210,995
126,1127,1000,-627,-436,1063,-1156,-1830,29,751,1024,888
58,1112,1054,-585,-497,1083,-1073,-1825,29,429,839,780
-9,1098,1107,-544,-558,1102,-990,-1820,29,107,653,673
-78,1083,1161,-502,-619,1122,-907,-1815,29,-214,468,566
-107,961,1068,-427,-588,1015,-790,-1634,29,-336,312,439
-126,849,976,-361,-551,912,-683,-1454,29,-448,156,312
-146,736,883,-295,-514,810,-575,-1273,29,-561,0,185
-165,624,790,-229,-478,707,-468,-1093,29,-673,-156,58
-175,566,741,-195,-458,653,-409,-980,29,-668,-209,-4
-175,517,692,-170,-434,605,-351,-878,29,-663,-253,-58
-175,468,644,-146,-409,556,-292,-775,29,-658,-297,-112
-175,419,595,-122,-385,507,-234,-673,29,-653,-341,-165
-209,366,575,-78,-392,470,-204,-629,29,-634,-356,-200
-244,312,556,-34,-400,434,-185,-595,29,-624,-370,-234
-278,258,536,9,-407,397,-165,-561,29,-614,-385,-268
-312,204,517,53,-414,361,-146,-527,29,-605,-400,-302
-292,229,522,31,-407,375,-117,-473,29,-580,-380,-297
-283,244,527,19,-405,385,-87,-429,29,-556,-370,-292
-273,258,531,7,-402,395,-58,-385,29,-531,-361,-287
-263,273,536,-4,-400,405,-29,-341,29,-507,-351,-283
-273,253,527,9,-400,390,-14,-307,29,-492,-341,-292
-273,244,517,14,-395,380,-9,-283,29,-478,-341,-292
-273,234,507,19,-390,370,-4,-258,29,-463,-341,-292
-273,224,497,24,-385,361,0,-234,29,-448,-341,-292
-258,234,492,12,-375,363,14,-224,29,-444,-331,-292
-253,234,488,9,-370,361,29,-224,29,-439,-331,-292
-248,234,483,7,-366,358,43,-224,29,-434,-331,-292
-244,234,478,4,-361,356,58,-224,29,-429,-331,-292
-239,239,478,0,-358,358,63,-204,29,-414,-317,-287
-234,244,478,-4,-356,361,68,-185,29,-400,-312,-283
-229,248,478,-9,-353,363,73,-165,29,-385,-307,-278
-224,253,478,-14,-351,366,78,-146,29,-370,-302,-273
-229,253,483,-12,-356,368,82,-141,29,-380,-307,-283
-234,253,488,-9,-361,370,87,-136,29,-390,-312,-283
-239,253,492,-7,-366,373,92,-131,29,-400,-317,-283
-244,253,497,-4,-370,375,97,-126,29,-409,-322,-283
-273,224,497,24,-385,361,82,-126,29,-419,-326,-297
-302,204,507,48,-405,356,78,-126,29,-419,-331,-302
-331,185,517,73,-424,351,73,-126,29,-419,-336,-307
-361,165,527,97,-444,346,68,-126,29,-419,-341,-312
-336,185,522,75,-429,353,87,-136,29,-429,-341,-312
-322,195,517,63,-419,356,97,-136,29,-429,-341,-312
-307,204,512,51,-409,358,107,-136,29,-429,-341,-312
-292,214,507,39,-400,361,117,-136,29,-429,-341,-312
-287,224,512,31,-400,368,117,-126,29,-419,-331,-312
-283,234,517,24,-400,375,117,-117,29,-419,-331,-312
-278,244,522,17,-400,383,117,-107,29,-419,-331,-312
-273,253,527,9,-400,390,117,-97,29,-419,-331,-312
-292,239,531,26,-412,385,117,-107,29,-429,-351,-331
