I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-29,-117,-87,73,29,-102,156,9,0,-107,-136,-107
-29,-117,-87,73,29,-102,156,9,0,-107,-136,-107
-29,-117,-87,73,29,-102,156,9,0,-107,-136,-107
-29,-117,-87,73,29,-102,156,9,0,-107,-136,-107
-19,-126,-107,73,43,-117,165,19,4,-107,-136,-107
-19,-126,-107,73,43,-117,165,19,9,-107,-136,-107
-19,-126,-107,73,43,-117,165,19,14,-107,-136,-107
-19,-126,-107,73,43,-117,165,19,19,-107,-136,-107
-19,-122,-102,70,41,-112,161,19,19,-97,-146,-117
-19,-117,-97,68,39,-107,156,19,19,-97,-146,-117
-19,-112,-92,65,36,-102,151,19,19,-97,-146,-117
-19,-107,-87,63,34,-97,146,19,19,-97,-146,-117
-9,-97,-87,53,39,-92,151,29,24,-97,-141,-107
-9,-97,-87,53,39,-92,156,29,29,-97,-136,-107
-9,-97,-87,53,39,-92,161,29,34,-97,-131,-107
-9,-97,-87,53,39,-92,165,29,39,-97,-126,-107
-9,-107,-97,58,43,-102,165,34,39,-82,-122,-97
-9,-107,-97,58,43,-102,165,39,39,-78,-117,-97
-9,-107,-97,58,43,-102,165,43,39,-73,-112,-97
-9,-107,-97,58,43,-102,165,48,39,-68,-107,-97
-9,-97,-87,53,39,-92,175,53,43,-58,-97,-97
-9,-97,-87,53,39,-92,175,58,48,-58,-97,-97
-9,-97,-87,53,39,-92,175,63,53,-58,-97,-97
-9,-97,-87,53,39,-92,175,68,58,-58,-97,-97
0,-87,-87,43,43,-87,175,78,63,-53,-92,-97
0,-87,-87,43,43,-87,175,78,68,-48,-87,-97
0,-87,-87,43,43,-87,175,78,73,-43,-82,-97
0,-87,-87,43,43,-87,175,78,78,-39,-78,-97
14,-68,-82,26,48,-75,180,92,92,-24,-68,-82
19,-58,-78,19,48,-68,185,97,97,-19,-68,-78
24,-48,-73,12,48,-61,190,102,102,-14,-68,-73
29,-39,-68,4,48,-53,195,107,107,-9,-68,-68
29,-39,-68,4,48,-53,185,122,117,-4,-53,-68
29,-39,-68,4,48,-53,185,126,117,0,-48,-68
29,-39,-68,4,48,-53,185,131,117,4,-43,-68
29,-39,-68,4,48,-53,185,136,117,9,-39,-68
29,-29,-58,0,43,-43,195,141,131,14,-39,-58
29,-29,-58,0,43,-43,195,146,136,19,-39,-58
29,-29,-58,0,43,-43,195,151,141,24,-39,-58
29,-29,-58,0,43,-43,195,156,146,29,-39,-58
29,-19,-48,-4,39,-34,204,170,156,43,-24,-48
29,-19,-48,-4,39,-34,204,175,165,48,-19,-48
29,-19,-48,-4,39,-34,204,180,175,53,-14,-48
29,-19,-48,-4,39,-34,204,185,185,58,-9,-48
39,-4,-43,-17,41,-24,219,204,204,78,0,-34
39,0,-39,-19,39,-19,224,214,214,87,9,-29
39,4,-34,-21,36,-14,229,224,224,97,19,-24
39,9,-29,-24,34,-9,234,234,234,107,29,-19
43,24,-19,-34,31,2,244,244,248,126,43,-9
48,29,-19,-39,34,4,244,253,263,136,48,-9
53,34,-19,-43,36,7,244,263,278,146,53,-9
58,39,-19,-48,39,9,244,273,292,156,58,-9
58,58,0,-58,29,29,253,283,312,170,68,4
58,68,9,-63,24,39,253,292,322,185,78,9
58,78,19,-68,19,48,253,302,331,200,87,14
58,87,29,-73,14,58,253,312,341,214,97,19
63,107,43,-85,9,75,263,331,356,239,112,29
68,117,48,-92,9,82,263,341,370,253,126,39
73,126,53,-100,9,90,263,351,385,268,141,48
78,136,58,-107,9,97,263,361,400,283,156,58
82,156,73,-119,4,114,263,366,409,307,165,68
87,165,78,-126,4,122,263,370,419,322,175,78
92,175,82,-134,4,129,263,375,429,336,185,87
97,185,87,-141,4,136,263,380,439,351,195,97
87,195,107,-141,-9,151,273,390,448,356,204,107
87,195,107,-141,-9,151,273,390,448,361,214,117
87,195,107,-141,-9,151,273,390,448,366,224,126
87,195,107,-141,-9,151,273,390,448,370,234,136
102,204,102,-153,0,153,268,380,448,385,248,141
107,214,107,-161,0,161,263,380,448,390,253,146
112,224,112,-168,0,168,258,380,448,395,258,151
117,234,117,-175,0,175,253,380,448,400,263,156
126,234,107,-180,9,170,253,370,444,400,273,156
126,234,107,-180,9,170,253,370,439,400,273,156
126,234,107,-180,9,170,253,370,434,400,273,156
126,234,107,-180,9,170,253,370,429,400,273,156
122,229,107,-175,7,168,239,361,409,395,268,156
117,224,107,-170,4,165,234,351,400,390,263,156
112,219,107,-165,2,163,229,341,390,385,258,156
107,214,107,-161,0,161,224,331,380,380,253,156
102,195,92,-148,4,143,224,322,370,370,248,146
97,185,87,-141,4,136,224,312,361,361,244,146
92,175,82,-134,4,129,224,302,351,351,239,146
87,165,78,-126,4,122,224,292,341,341,234,146
87,180,92,-134,-2,136,209,278,326,326,224,136
87,185,97,-136,-4,141,204,263,312,312,214,126
