I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-9,-302,-292,156,141,-297,165,195,107,107,117,107
-9,-302,-292,156,141,-297,165,195,107,107,117,107
-9,-302,-292,156,141,-297,165,195,107,107,117,107
-9,-302,-292,156,141,-297,165,195,107,107,117,107
-9,-302,-292,156,141,-297,165,204,112,112,122,117
-9,-302,-292,156,141,-297,165,204,117,117,126,117
-9,-302,-292,156,141,-297,165,204,122,122,131,117
-9,-302,-292,156,141,-297,165,204,126,126,136,117
-4,-287,-283,146,139,-285,156,214,126,136,141,122
0,-283,-283,141,141,-283,156,214,126,136,146,126
4,-278,-283,136,143,-280,156,214,126,136,151,131
9,-273,-283,131,146,-278,156,214,126,136,156,136
19,-273,-292,126,156,-283,156,229,136,146,156,151
19,-273,-292,126,156,-283,156,234,136,146,156,156
19,-273,-292,126,156,-283,156,239,136,146,156,161
19,-273,-292,126,156,-283,156,244,136,146,156,165
29,-273,-302,122,165,-287,146,248,136,151,161,175
29,-273,-302,122,165,-287,146,253,136,156,165,175
29,-273,-302,122,165,-287,146,258,136,161,170,175
29,-273,-302,122,165,-287,146,263,136,165,175,175
39,-258,-297,109,168,-278,146,273,151,185,190,195
48,-253,-302,102,175,-278,146,283,156,195,204,204
58,-248,-307,95,183,-278,146,292,161,204,219,214
68,-244,-312,87,190,-278,146,302,165,214,234,224
73,-239,-312,82,192,-275,141,312,165,219,248,239
78,-234,-312,78,195,-273,136,312,165,224,253,244
82,-229,-312,73,197,-270,131,312,165,229,258,248
87,-224,-312,68,200,-268,126,312,165,234,263,253
92,-214,-307,61,200,-261,122,326,180,248,278,268
97,-214,-312,58,204,-263,117,331,185,253,283,273
102,-214,-317,56,209,-265,112,336,190,258,287,278
107,-214,-322,53,214,-268,107,341,195,263,292,283
122,-200,-322,39,222,-261,97,361,195,278,302,302
126,-195,-322,34,224,-258,97,370,195,283,312,312
131,-190,-322,29,226,-256,97,380,195,287,322,322
136,-185,-322,24,229,-253,97,390,195,292,331,331
146,-175,-322,14,234,-248,87,395,200,312,351,346
156,-165,-322,4,239,-244,87,400,204,322,361,361
165,-156,-322,-4,244,-239,87,405,209,331,370,375
175,-146,-322,-14,248,-234,87,409,214,341,380,390
180,-141,-322,-19,251,-231,73,424,224,346,390,405
185,-136,-322,-24,253,-229,68,429,224,351,400,409
190,-131,-322,-29,256,-226,63,434,224,356,409,414
195,-126,-322,-34,258,-224,58,439,224,361,419,419
200,-117,-317,-41,258,-217,58,444,229,366,424,429
204,-117,-322,-43,263,-219,58,448,234,370,429,439
209,-117,-326,-46,268,-222,58,453,239,375,434,448
214,-117,-331,-48,273,-224,58,458,244,380,439,458
224,-107,-331,-58,278,-219,48,468,253,400,458,463
224,-107,-331,-58,278,-219,48,468,253,409,468,468
224,-107,-331,-58,278,-219,48,468,253,419,478,473
224,-107,-331,-58,278,-219,48,468,253,429,488,478
224,-97,-322,-63,273,-209,48,458,263,429,488,488
224,-97,-322,-63,273,-209,48,458,263,429,488,488
224,-97,-322,-63,273,-209,48,458,263,429,488,488
224,-97,-322,-63,273,-209,48,458,263,429,488,488
224,-87,-312,-68,268,-200,48,453,253,424,483,473
224,-87,-312,-68,268,-200,48,448,253,419,478,468
224,-87,-312,-68,268,-200,48,444,253,414,473,463
224,-87,-312,-68,268,-200,48,439,253,409,468,458
204,-97,-302,-53,253,-200,58,429,248,390,453,444
195,-107,-302,-43,248,-204,58,419,244,380,439,429
185,-117,-302,-34,244,-209,58,409,239,370,424,414
175,-126,-302,-24,239,-214,58,400,234,361,409,400
161,-136,-297,-12,229,-217,63,380,234,351,395,385
156,-146,-302,-4,229,-224,68,370,234,341,380,370
151,-156,-307,2,229,-231,73,361,234,331,366,356
146,-165,-312,9,229,-239,78,351,234,322,351,341
126,-185,-312,29,219,-248,92,341,229,302,331,317
