I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
19,9,-10,-14,14,0,897,1298,1210,-644,-1405,185
17,8,-9,-12,13,0,897,1292,1065,-636,-1407,184
14,8,-6,-11,10,1,897,1288,912,-629,-1409,184
10,9,-1,-9,5,4,896,1283,758,-621,-1412,185
9,9,0,-9,4,4,896,1278,614,-614,-1414,185
8,8,0,-8,4,4,897,1270,481,-607,-1417,184
9,8,-1,-8,5,3,897,1263,351,-600,-1419,184
8,9,1,-8,3,5,896,1256,213,-592,-1421,185
8,9,1,-8,3,5,896,1249,87,-585,-1423,185
11,8,-3,-9,7,2,897,1237,-12,-579,-1426,183
13,8,-5,-10,9,1,897,1224,-96,-575,-1428,180
16,9,-7,-12,11,1,896,1211,-184,-570,-1431,176
18,9,-9,-13,13,0,896,1200,-282,-566,-1433,175
24,8,-16,-16,20,-4,897,1190,-397,-563,-1436,174
33,8,-25,-20,29,-8,897,1180,-526,-561,-1438,174
44,9,-35,-26,39,-13,896,1169,-661,-559,-1441,174
48,9,-39,-28,43,-15,896,1161,-770,-556,-1443,174
38,5,-33,-21,35,-14,898,1159,-831,-551,-1446,176
19,0,-19,-9,19,-9,901,1160,-867,-546,-1448,179
0,-6,-6,3,3,-6,904,1162,-909,-541,-1451,183
-9,-9,0,9,-4,-4,906,1161,-965,-536,-1453,184
3,-1,-4,-1,3,-2,907,1154,-1041,-529,-1456,185
28,13,-15,-20,21,-1,907,1146,-1136,-522,-1458,184
54,30,-24,-42,39,3,906,1138,-1238,-514,-1461,185
67,38,-29,-52,48,4,907,1132,-1306,-507,-1463,185
60,34,-26,-47,43,4,906,1124,-1305,-501,-1467,183
43,24,-19,-33,31,2,906,1117,-1268,-497,-1472,180
27,14,-13,-20,20,0,907,1108,-1236,-492,-1478,177
19,9,-10,-14,14,0,907,1102,-1228,-488,-1482,175
17,7,-10,-12,13,-1,904,1099,-1251,-485,-1485,174
18,8,-10,-13,14,-1,902,1098,-1292,-483,-1487,174
18,9,-9,-13,13,0,899,1095,-1333,-480,-1490,175
18,9,-9,-13,13,0,897,1093,-1355,-478,-1492,175
22,6,-16,-14,19,-5,895,1090,-1347,-477,-1495,170
28,4,-24,-16,26,-10,893,1088,-1317,-477,-1497,165
34,1,-33,-17,33,-16,890,1085,-1282,-478,-1500,159
38,0,-38,-19,38,-19,888,1083,-1277,-478,-1502,156
39,0,-39,-19,39,-19,887,1078,-1330,-475,-1504,155
39,0,-39,-19,39,-19,887,1073,-1414,-473,-1506,155
38,0,-38,-19,38,-19,887,1066,-1494,-471,-1509,156
38,0,-38,-19,38,-19,887,1063,-1550,-468,-1511,156
38,1,-37,-19,37,-18,890,1066,-1569,-461,-1514,155
38,3,-35,-20,36,-16,892,1072,-1566,-453,-1516,155
39,6,-33,-22,36,-13,895,1079,-1561,-445,-1519,156
39,8,-31,-23,35,-11,896,1082,-1580,-439,-1521,156
37,9,-28,-23,32,-9,897,1083,-1641,-434,-1526,155
34,8,-26,-21,30,-9,896,1083,-1726,-429,-1531,155
31,9,-22,-20,26,-6,897,1082,-1809,-423,-1537,156
29,9,-20,-19,24,-5,897,1082,-1872,-419,-1541,156
28,6,-22,-17,25,-8,895,1083,-1903,-417,-1544,155
28,4,-24,-16,26,-10,893,1083,-1916,-418,-1545,155
29,1,-28,-15,28,-13,890,1082,-1931,-419,-1548,156
29,0,-29,-14,29,-14,888,1082,-1960,-419,-1550,156
28,0,-28,-14,28,-14,887,1083,-2013,-414,-1553,155
28,0,-28,-14,28,-14,887,1083,-2082,-409,-1555,155
29,1,-28,-15,28,-13,888,1082,-2151,-403,-1558,156
29,0,-29,-14,29,-14,888,1082,-2204,-400,-1560,156
25,-5,-30,-10,27,-17,884,1083,-2229,-399,-1563,152
19,-13,-32,-3,25,-22,878,1083,-2238,-399,-1565,146
12,-23,-35,5,23,-29,872,1082,-2250,-400,-1568,140
9,-28,-37,9,23,-32,868,1082,-2273,-400,-1570,136
12,-26,-38,7,25,-32,867,1087,-2310,-397,-1575,135
18,-19,-37,0,27,-28,867,1092,-2356,-395,-1580,135
25,-12,-37,-6,31,-24,867,1097,-2403,-392,-1585,136
28,-9,-37,-9,32,-23,867,1101,-2439,-390,-1589,136
29,-8,-37,-10,33,-22,868,1105,-2456,-385,-1592,135
28,-8,-36,-10,32,-22,868,1106,-2463,-380,-1594,135
31,-10,-41,-10,36,-25,865,1107,-2472,-374,-1597,136
29,-9,-38,-10,33,-23,867,1111,-2487,-370,-1599,136
15,-4,-19,-5,17,-11,883,1122,-2512,-366,-1602,130
-8,0,8,4,-8,4,906,1131,-2546,-369,-1604,117
-35,2,37,16,-36,19,928,1136,-2586,-381,-1607,99
-48,8,56,20,-52,32,945,1150,-2605,-370,-1609,96
-34,26,60,4,-47,43,958,1185,-2581,-313,-1612,125
-9,47,56,-19,-32,51,970,1228,-2542,-239,-1614,160
8,66,58,-37,-25,62,986,1265,-2515,-181,-1617,182
28,86,58,-57,-15,72,994,1306,-2479,-108,-1619,222
60,112,52,-86,4,82,988,1364,-2411,8,-1623,316
96,140,44,-118,26,92,976,1432,-2328,148,-1628,432
129,166,37,-147,46,101,968,1501,-2250,281,-1634,536
164,194,30,-179,67,112,956,1560,-2177,407,-1638,642
207,230,23,-218,92,126,931,1601,-2102,529,-1641,770
257,272,15,-264,121,143,897,1638,-2026,651,-1643,914
308,315,7,-311,150,161,864,1682,-1950,771,-1646,1061
350,350,0,-350,175,175,839,1716,-1874,894,-1648,1188
374,373,-1,-373,187,186,825,1727,-1791,1028,-1651,1283
394,399,5,-396,194,202,814,1741,-1685,1191,-1653,1382
424,438,14,-431,205,226,798,1774,-1554,1383,-1656,1511
439,448,9,-443,215,228,789,1766,-1492,1492,-1658,1580
416,392,-24,-404,220,184,800,1663,-1575,1433,-1662,1514
380,308,-72,-344,226,118,818,1514,-1709,1328,-1667,1396
357,238,-119,-297,238,59,833,1383,-1799,1292,-1673,1317
322,166,-156,-244,239,5,848,1261,-1928,1165,-1677,1212
249,67,-182,-158,215,-57,870,1124,-2197,778,-1680,1004
152,-55,-207,-48,179,-131,892,959,-2563,224,-1682,732
57,-184,-241,63,149,-212,911,773,-2939,-331,-1685,463
-17,-281,-264,149,123,-272,935,653,-3207,-727,-1687,247
-62,-317,-255,189,96,-286,973,673,-3284,-856,-1690,108
-96,-330,-234,213,69,-282,1018,764,-3274,-872,-1692,-6
-138,-359,-221,248,41,-290,1059,837,-3296,-943,-1695,-147
-174,-379,-205,276,15,-292,1101,877,-3336,-1014,-1697,-261
-187,-363,-176,275,-5,-269,1150,891,-3352,-998,-1702,-289
-189,-326,-137,257,-26,-231,1203,896,-3352,-937,-1707,-278
-196,-295,-99,245,-48,-197,1257,909,-3352,-889,-1712,-282
