I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
897,1434,536,-1166,180,985,-2440,-1220,907,1698,1717,1620
897,1434,536,-1166,180,985,-2440,-1220,907,1698,1717,1620
897,1434,536,-1166,180,985,-2440,-1220,907,1698,1717,1620
897,1434,536,-1166,180,985,-2440,-1220,907,1698,1717,1620
888,1420,531,-1154,178,976,-2483,-1332,858,1732,1771,1678
888,1405,517,-1146,185,961,-2518,-1444,810,1756,1815,1727
888,1390,502,-1139,192,946,-2552,-1556,761,1781,1859,1776
888,1376,488,-1132,200,932,-2586,-1668,712,1805,1903,1825
863,1385,522,-1124,170,954,-2576,-1786,585,1771,1922,1864
849,1395,546,-1122,151,971,-2566,-1893,468,1737,1932,1893
834,1405,570,-1119,131,988,-2557,-2000,351,1703,1942,1922
819,1415,595,-1117,112,1005,-2547,-2108,234,1668,1952,1952
795,1444,649,-1119,73,1046,-2518,-2215,92,1595,1947,1986
771,1464,692,-1117,39,1078,-2488,-2322,-48,1532,1942,2010
746,1483,736,-1115,4,1110,-2459,-2430,-190,1468,1937,2034
722,1503,780,-1112,-29,1141,-2430,-2537,-331,1405,1932,2059
692,1483,790,-1088,-48,1137,-2361,-2552,-434,1346,1917,2074
673,1473,800,-1073,-63,1137,-2293,-2566,-527,1288,1903,2078
653,1464,810,-1058,-78,1137,-2225,-2581,-619,1229,1888,2083
634,1454,819,-1044,-92,1137,-2156,-2596,-712,1171,1873,2088
575,1429,854,-1002,-139,1141,-2044,-2532,-756,1098,1825,2074
517,1405,888,-961,-185,1146,-1942,-2479,-800,1024,1786,2059
458,1381,922,-919,-231,1151,-1839,-2425,-844,951,1747,2044
400,1356,956,-878,-278,1156,-1737,-2371,-888,878,1708,2030
366,1298,932,-832,-283,1115,-1629,-2239,-888,800,1654,2000
331,1239,907,-785,-287,1073,-1522,-2117,-888,732,1610,1981
297,1180,883,-739,-292,1032,-1415,-1995,-888,663,1566,1961
263,1122,858,-692,-297,990,-1307,-1873,-888,595,1522,1942
234,1039,805,-636,-285,922,-1200,-1751,-858,531,1449,1883
214,956,741,-585,-263,849,-1093,-1629,-839,468,1376,1825
195,873,678,-534,-241,775,-985,-1507,-819,405,1302,1766
175,790,614,-483,-219,702,-878,-1385,-800,341,1229,1708
170,697,527,-434,-178,612,-795,-1259,-756,297,1151,1649
165,605,439,-385,-136,522,-712,-1132,-712,253,1083,1590
161,512,351,-336,-95,431,-629,-1005,-668,209,1015,1532
156,419,263,-287,-53,341,-546,-878,-624,165,946,1473
170,326,156,-248,7,241,-468,-746,-551,165,907,1420
175,234,58,-204,58,146,-400,-624,-478,165,868,1366
180,141,-39,-161,109,51,-331,-502,-405,165,829,1312
185,48,-136,-117,161,-43,-263,-380,-331,165,790,1259
180,-4,-185,-87,183,-95,-195,-283,-283,141,707,1151
175,-58,-234,-58,204,-146,-136,-185,-234,117,624,1054
170,-112,-283,-29,226,-197,-78,-87,-185,92,541,956
165,-165,-331,0,248,-248,-19,9,-136,68,458,858
136,-209,-346,36,241,-278,34,73,-107,34,366,736
117,-244,-361,63,239,-302,87,126,-78,0,273,624
97,-278,-375,90,236,-326,141,180,-48,-34,180,512
78,-312,-390,117,234,-351,195,234,-19,-68,87,400
43,-322,-366,139,204,-344,248,278,-9,-107,-9,287
19,-322,-341,151,180,-331,292,312,0,-146,-97,175
-4,-322,-317,163,156,-319,336,346,9,-185,-185,63
-29,-322,-292,175,131,-307,380,380,19,-224,-273,-48
-39,-346,-307,192,134,-326,414,414,39,-239,-307,-102
-48,-361,-312,204,131,-336,439,439,48,-244,-331,-146
-58,-375,-317,217,129,-346,463,463,58,-248,-356,-190
-68,-390,-322,229,126,-356,488,488,68,-253,-380,-234
-68,-390,-322,229,126,-356,502,502,78,-244,-400,-258
-68,-390,-322,229,126,-356,517,517,87,-244,-409,-273
-68,-390,-322,229,126,-356,531,531,97,-244,-419,-287
-68,-390,-322,229,126,-356,546,546,107,-244,-429,-302
-78,-400,-322,239,122,-361,556,561,97,-258,-444,-317
-87,-409,-322,248,117,-366,566,566,97,-263,-448,-322
-97,-419,-322,258,112,-370,575,570,97,-268,-453,-326
-107,-429,-322,268,107,-375,585,575,97,-273,-458,-331
-97,-439,-341,268,122,-390,605,600,112,-283,-463,-336
-87,-439,-351,263,131,-395,624,614,117,-283,-468,-341
-78,-439,-361,258,141,-400,644,629,122,-283,-473,-346
-68,-439,-370,253,151,-405,663,644,126,-283,-478,-351
-82,-448,-366,265,141,-407,683,663,136,-273,-478,-356
-87,-448,-361,268,136,-405,702,683,146,-273,-478,-361
-92,-448,-356,270,131,-402,722,702,156,-273,-478,-366
-97,-448,-351,273,126,-400,741,722,165,-273,-478,-370
-112,-453,-341,283,114,-397,761,736,165,-292,-497,-395
