I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
175,214,39,-195,68,126,224,409,468,448,204,-126
175,214,39,-195,68,126,224,409,468,448,204,-126
175,214,39,-195,68,126,224,409,468,448,204,-126
175,214,39,-195,68,126,224,409,468,448,204,-126
165,214,48,-190,58,131,214,395,453,448,204,-126
165,214,48,-190,58,131,214,390,448,448,204,-126
165,214,48,-190,58,131,214,385,444,448,204,-126
165,214,48,-190,58,131,214,380,439,448,204,-126
156,214,58,-185,48,136,204,366,419,439,200,-136
156,214,58,-185,48,136,204,351,409,429,195,-136
156,214,58,-185,48,136,204,336,400,419,190,-136
156,214,58,-185,48,136,204,322,390,409,185,-136
151,209,58,-180,46,134,204,297,375,400,170,-136
146,204,58,-175,43,131,204,283,361,390,165,-136
141,200,58,-170,41,129,204,268,346,380,161,-136
136,195,58,-165,39,126,204,253,331,370,156,-136
126,190,63,-158,31,126,200,224,312,351,146,-136
126,185,58,-156,34,122,195,204,292,341,136,-136
126,180,53,-153,36,117,190,185,273,331,126,-136
126,175,48,-151,39,112,185,165,253,322,117,-136
122,161,39,-141,41,100,185,141,229,302,107,-136
117,156,39,-136,39,97,185,126,214,292,97,-136
112,151,39,-131,36,95,185,112,200,283,87,-136
107,146,39,-126,34,92,185,97,185,273,78,-136
92,131,39,-112,26,85,195,78,165,258,63,-136
87,126,39,-107,24,82,195,68,156,253,58,-136
82,122,39,-102,21,80,195,58,146,248,53,-136
78,117,39,-97,19,78,195,48,136,244,48,-136
73,112,39,-92,17,75,195,34,117,234,43,-136
68,107,39,-87,14,73,195,19,107,224,39,-136
63,102,39,-82,12,70,195,4,97,214,34,-136
58,97,39,-78,9,68,195,-9,87,204,29,-136
53,92,39,-73,7,65,195,-14,73,200,14,-136
48,87,39,-68,4,63,195,-19,68,195,9,-136
43,82,39,-63,2,61,195,-24,63,190,4,-136
39,78,39,-58,0,58,195,-29,58,185,0,-136
34,68,34,-51,0,51,204,-43,53,180,9,-136
29,68,39,-48,-4,53,204,-48,48,175,9,-136
24,68,43,-46,-9,56,204,-53,43,170,9,-136
19,68,48,-43,-14,58,204,-58,39,165,9,-136
24,63,39,-43,-7,51,195,-63,24,161,-4,-136
29,58,29,-43,0,43,195,-68,19,156,-9,-136
34,53,19,-43,7,36,195,-73,14,151,-14,-136
39,48,9,-43,14,29,195,-78,9,146,-19,-136
24,39,14,-31,4,26,204,-78,9,146,-14,-146
19,39,19,-29,0,29,204,-78,9,146,-9,-146
14,39,24,-26,-4,31,204,-78,9,146,-4,-146
9,39,29,-24,-9,34,204,-78,9,146,0,-146
19,39,19,-29,0,29,195,-78,0,136,-9,-146
19,39,19,-29,0,29,195,-78,0,136,-9,-146
19,39,19,-29,0,29,195,-78,0,136,-9,-146
19,39,19,-29,0,29,195,-78,0,136,-9,-146
19,48,29,-34,-4,39,195,-87,0,136,-9,-146
19,48,29,-34,-4,39,195,-87,0,136,-9,-146
19,48,29,-34,-4,39,195,-87,0,136,-9,-146
19,48,29,-34,-4,39,195,-87,0,136,-9,-146
29,48,19,-39,4,34,185,-87,-9,136,-19,-146
29,48,19,-39,4,34,185,-87,-9,136,-19,-146
29,48,19,-39,4,34,185,-87,-9,136,-19,-146
29,48,19,-39,4,34,185,-87,-9,136,-19,-146
19,48,29,-34,-4,39,185,-87,0,136,-9,-146
19,48,29,-34,-4,39,185,-87,0,136,-9,-146
19,48,29,-34,-4,39,185,-87,0,136,-9,-146
19,48,29,-34,-4,39,185,-87,0,136,-9,-146
29,48,19,-39,4,34,175,-87,0,146,-4,-146
29,48,19,-39,4,34,175,-87,0,146,0,-146
29,48,19,-39,4,34,175,-87,0,146,4,-146
29,48,19,-39,4,34,175,-87,0,146,9,-146
19,48,29,-34,-4,39,185,-78,0,156,9,-146
19,48,29,-34,-4,39,185,-78,0,156,9,-146
19,48,29,-34,-4,39,185,-78,0,156,9,-146
19,48,29,-34,-4,39,185,-78,0,156,9,-146
29,58,29,-43,0,43,175,-78,0,156,9,-146
29,58,29,-43,0,43,175,-78,0,156,9,-146
29,58,29,-43,0,43,175,-78,0,156,9,-146
29,58,29,-43,0,43,175,-78,0,156,9,-146
39,58,19,-48,9,39,180,-68,9,165,9,-146
39,58,19,-48,9,39,185,-68,9,165,9,-146
39,58,19,-48,9,39,190,-68,9,165,9,-146
39,58,19,-48,9,39,195,-68,9,165,9,-146
43,68,24,-56,9,46,190,-78,9,165,9,-156
48,68,19,-58,14,43,185,-78,9,165,9,-156
53,68,14,-61,19,41,180,-78,9,165,9,-156
58,68,9,-63,24,39,175,-78,9,165,9,-156
48,68,19,-58,14,43,180,-73,14,170,14,-156
39,68,29,-53,4,48,185,-68,19,175,19,-156
29,68,39,-48,-4,53,190,-63,24,180,24,-156
19,68,48,-43,-14,58,195,-58,29,185,29,-156
9,68,58,-39,-24,63,195,-48,39,185,29,-156
9,68,58,-39,-24,63,195,-48,39,185,29,-156
9,68,58,-39,-24,63,195,-48,39,185,29,-156
9,68,58,-39,-24,63,195,-48,39,185,29,-156
14,68,53,-41,-19,61,185,-58,39,175,29,-156
19,68,48,-43,-14,58,185,-58,39,175,29,-156
24,68,43,-46,-9,56,185,-58,39,175,29,-156
29,68,39,-48,-4,53,185,-58,39,175,29,-156
19,58,39,-39,-9,48,185,-58,39,185,29,-156
19,58,39,-39,-9,48,185,-58,39,185,29,-156
19,58,39,-39,-9,48,185,-58,39,185,29,-156
19,58,39,-39,-9,48,185,-58,39,185,29,-156
29,68,39,-48,-4,53,195,-48,29,185,29,-156
29,68,39,-48,-4,53,195,-48,29,185,29,-156
29,68,39,-48,-4,53,195,-48,29,185,29,-156
