I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-126,19,146,53,-136,82,102,29,58,-34,-131,-48
-112,24,136,43,-124,80,117,58,78,-34,-131,-39
-112,34,146,39,-129,90,117,63,78,-39,-136,-29
-122,34,156,43,-139,95,112,63,78,-48,-161,-58
-126,34,161,46,-143,97,102,14,43,-39,-146,-43
-117,39,156,39,-136,97,102,19,24,-29,-131,-39
-131,39,170,46,-151,104,102,24,9,-9,-97,-29
-136,39,175,48,-156,107,102,19,0,0,-82,-24
-122,43,165,39,-143,104,87,29,0,-9,-78,-4
-122,58,180,31,-151,119,78,34,-4,-14,-63,-4
-117,63,180,26,-148,122,68,9,-9,-19,-58,-4
-112,58,170,26,-141,114,58,-9,-19,-34,-63,-19
-112,43,156,34,-134,100,78,14,0,-24,-68,-9
-112,39,151,36,-131,95,92,63,9,-14,-53,-9
-117,34,151,41,-134,92,102,48,29,-14,-48,-19
-117,29,146,43,-131,87,126,39,39,-14,-48,4
-141,43,185,48,-163,114,126,19,34,-4,-58,-4
-136,48,185,43,-161,117,117,19,29,-4,-53,-19
-122,53,175,34,-148,114,117,9,24,0,-53,-39
-126,58,185,34,-156,122,122,9,24,0,-43,-53
-107,68,175,19,-141,122,122,-34,43,14,-58,-48
-73,73,146,0,-109,109,122,-39,63,29,-53,-48
-63,78,141,-7,-102,109,122,-39,82,39,-39,-43
-53,82,136,-14,-95,109,117,-34,102,43,-34,-34
-68,68,136,0,-102,102,122,-19,63,19,-43,-34
-73,68,141,2,-107,104,122,-14,24,4,-48,-39
-87,63,151,12,-119,107,122,-9,-9,-9,-53,-39
-92,63,156,14,-124,109,122,-4,-43,-29,-58,-39
-92,68,161,12,-126,114,117,4,-9,-29,-43,-34
-87,73,161,7,-124,117,107,29,14,-14,-39,-39
-87,73,161,7,-124,117,126,48,39,14,-24,-34
-92,68,161,12,-126,114,141,58,63,29,-19,-24
-92,73,165,9,-129,119,141,53,43,24,-43,-39
-92,82,175,4,-134,129,126,58,39,29,-34,-48
-82,87,170,-2,-126,129,122,68,48,29,-34,-63
-82,92,175,-4,-129,134,117,39,34,24,-43,-78
-78,78,156,0,-117,117,112,14,29,0,-43,-82
-87,78,165,4,-126,122,112,9,29,-19,-43,-82
-87,82,170,2,-129,126,122,19,43,-9,-48,-82
-82,82,165,0,-124,124,126,29,48,-14,-48,-78
-68,63,131,2,-100,97,122,19,34,-24,-53,-87
-63,73,136,-4,-100,104,107,19,24,-9,-58,-87
-58,73,131,-7,-95,102,112,14,9,0,-48,-87
-58,73,131,-7,-95,102,107,0,0,9,-53,-82
-48,82,131,-17,-90,107,92,14,-9,4,-53,-68
-48,82,131,-17,-90,107,82,34,-4,-4,-73,-68
-48,82,131,-17,-90,107,73,29,-14,-4,-63,-63
-58,87,146,-14,-102,117,63,-4,-19,-4,-53,-58
-39,78,117,-19,-78,97,68,-24,-9,-19,-43,-48
-39,73,112,-17,-75,92,78,4,-14,-29,-43,-39
-43,68,112,-12,-78,90,87,14,-24,-34,-43,-34
-43,53,97,-4,-70,75,97,29,-14,-39,-43,-34
-58,63,122,-2,-90,92,107,4,24,-29,-53,-48
-68,63,131,2,-100,97,102,-9,29,-43,-53,-58
-73,68,141,2,-107,104,97,-24,19,-48,-48,-68
-78,73,151,2,-114,112,97,-14,19,-48,-39,-68
-73,82,156,-4,-114,119,87,0,29,-39,-43,-73
-63,73,136,-4,-100,104,82,9,48,-24,-48,-73
-53,73,126,-9,-90,100,78,14,58,-4,-53,-82
-58,68,126,-4,-92,97,82,4,48,-9,-53,-73
-63,53,117,4,-90,85,82,-4,29,-29,-48,-73
-58,63,122,-2,-90,92,78,-4,9,-29,-53,-87
-78,48,126,14,-102,87,82,9,24,-29,-53,-78
-82,43,126,19,-104,85,87,19,4,-29,-48,-68
-63,48,112,7,-87,80,82,-9,14,-34,-53,-78
-58,53,112,2,-85,82,87,-19,19,-29,-53,-87
-63,48,112,7,-87,80,87,-4,29,-19,-39,-82
-68,43,112,12,-90,78,87,4,43,-14,-39,-92
-58,53,112,2,-85,82,82,-4,29,-9,-43,-92
-58,58,117,0,-87,87,82,-14,9,-9,-58,-102
-53,43,97,4,-75,70,82,-14,-4,-24,-78,-112
-53,39,92,7,-73,65,92,-14,-9,-24,-73,-92
