I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
97,126,29,-112,34,78,-78,-29,-19,-19,-53,82
97,122,24,-109,36,73,-78,-29,-24,-29,-63,68
97,122,24,-109,36,73,-78,-34,-39,-39,-68,63
92,117,24,-104,34,70,-68,-39,-39,-48,-73,58
78,122,43,-100,17,82,-43,-39,-43,-48,-68,58
73,126,53,-100,9,90,-43,-34,-48,-53,-68,58
58,112,53,-85,2,82,-39,-34,-48,-58,-73,53
58,117,58,-87,0,87,-39,-43,-53,-63,-87,48
68,112,43,-90,12,78,-39,-48,-68,-78,-102,34
68,92,24,-80,21,58,-39,-63,-78,-82,-112,24
53,82,29,-68,12,56,-39,-73,-87,-92,-122,14
39,73,34,-56,2,53,-39,-78,-97,-107,-126,9
39,63,24,-51,7,43,-48,-87,-102,-122,-136,4
34,58,24,-46,4,41,-48,-87,-102,-122,-141,0
19,48,29,-34,-4,39,-39,-82,-102,-122,-141,-4
-4,43,48,-19,-26,46,-29,-82,-102,-122,-141,-4
-14,34,48,-9,-31,41,-14,-82,-102,-122,-146,-9
-14,29,43,-7,-29,36,-9,-82,-102,-122,-151,-14
-14,29,43,-7,-29,36,-9,-82,-112,-126,-151,-14
-19,19,39,0,-29,29,-9,-92,-117,-131,-156,-14
-19,19,39,0,-29,29,-19,-102,-122,-146,-161,-24
-19,24,43,-2,-31,34,-19,-107,-122,-151,-165,-29
-24,19,43,2,-34,31,-19,-112,-126,-161,-170,-39
-34,19,53,7,-43,36,-19,-122,-136,-161,-180,-48
-43,29,73,7,-58,51,-9,-112,-136,-161,-190,-39
-43,24,68,9,-56,46,-9,-112,-131,-161,-190,-39
-34,19,53,7,-43,36,-9,-112,-131,-161,-190,-39
-43,9,53,17,-48,31,-9,-112,-131,-161,-190,-39
-43,4,48,19,-46,26,-4,-102,-122,-156,-185,-39
-43,4,48,19,-46,26,-4,-102,-126,-156,-180,-39
-43,0,43,21,-43,21,-4,-112,-131,-156,-180,-43
-43,-4,39,24,-41,17,-4,-112,-131,-156,-175,-43
