I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
19,-19,-39,0,29,-29,390,185,-58,-87,165,39
19,-19,-39,0,29,-29,390,185,-58,-87,165,39
19,-19,-39,0,29,-29,390,185,-58,-87,165,39
19,-19,-39,0,29,-29,390,185,-58,-87,165,39
4,-24,-29,9,17,-26,400,195,-58,-97,156,34
0,-29,-29,14,14,-29,400,195,-58,-107,156,29
-4,-34,-29,19,12,-31,400,195,-58,-117,156,24
-9,-39,-29,24,9,-34,400,195,-58,-126,156,19
-9,-39,-29,24,9,-34,409,200,-53,-136,146,19
-9,-39,-29,24,9,-34,409,204,-48,-136,146,19
-9,-39,-29,24,9,-34,409,209,-43,-136,146,19
-9,-39,-29,24,9,-34,409,214,-39,-136,146,19
-9,-39,-29,24,9,-34,400,214,-48,-151,146,19
-9,-39,-29,24,9,-34,390,214,-48,-156,146,19
-9,-39,-29,24,9,-34,380,214,-48,-161,146,19
-9,-39,-29,24,9,-34,370,214,-48,-165,146,19
-9,-29,-19,19,4,-24,375,214,-48,-175,141,9
-9,-29,-19,19,4,-24,380,214,-48,-175,136,9
-9,-29,-19,19,4,-24,385,214,-48,-175,131,9
-9,-29,-19,19,4,-24,390,214,-48,-175,126,9
-19,-39,-19,29,0,-29,380,219,-43,-180,141,9
-19,-39,-19,29,0,-29,370,224,-39,-185,146,9
-19,-39,-19,29,0,-29,361,229,-34,-190,151,9
-19,-39,-19,29,0,-29,351,234,-29,-195,156,9
-19,-43,-24,31,2,-34,366,234,-39,-204,151,9
-19,-48,-29,34,4,-39,380,234,-39,-204,146,9
-19,-53,-34,36,7,-43,395,234,-39,-204,141,9
-19,-58,-39,39,9,-48,409,234,-39,-204,136,9
-29,-58,-29,43,0,-43,429,244,-39,-234,136,9
-29,-48,-19,39,-4,-34,429,244,-39,-244,146,0
-19,-39,-19,29,0,-29,429,234,-29,-224,136,9
-29,-29,0,29,-14,-14,429,234,-19,-224,136,19
-68,-29,39,48,-53,4,429,234,-9,-234,117,9
-87,-39,48,63,-68,4,439,244,0,-253,97,-9
-87,-9,78,48,-82,34,458,253,29,-263,87,-19
-97,19,117,39,-107,68,488,263,58,-263,78,-9
-117,9,126,53,-122,68,488,283,48,-292,68,-19
-126,0,126,63,-126,63,468,283,29,-322,48,-19
-117,19,136,48,-126,78,497,283,29,-322,48,-9
-107,39,146,34,-126,92,517,283,39,-312,78,9
-117,39,156,39,-136,97,507,292,58,-273,107,39
-107,68,175,19,-141,122,517,312,97,-204,156,68
-68,107,175,-19,-122,141,507,331,146,-146,195,97
-39,156,195,-58,-117,175,497,351,204,-78,253,146
-19,185,204,-82,-112,195,507,370,244,0,322,204
9,204,195,-107,-92,200,497,380,263,39,400,273
58,224,165,-141,-53,195,468,370,253,97,488,341
117,283,165,-200,-24,224,439,322,204,156,585,419
204,322,117,-263,43,219,409,253,126,185,692,507
292,341,48,-317,122,195,390,195,58,214,790,595
370,331,-39,-351,204,146,351,175,29,263,878,663
439,273,-165,-356,302,53,331,195,29,331,956,702
517,165,-351,-341,434,-92,361,224,39,390,1015,722
566,78,-488,-322,527,-204,370,224,29,400,1044,741
595,0,-595,-297,595,-297,400,244,19,341,1024,722
595,-97,-692,-248,644,-395,429,273,9,185,907,653
566,-185,-751,-190,658,-468,419,292,-19,-87,692,517
507,-263,-771,-122,639,-517,429,312,-9,-361,448,370
448,-302,-751,-73,600,-527,429,341,9,-527,253,253
429,-302,-732,-63,580,-517,400,331,-9,-595,126,195
409,-292,-702,-58,556,-497,400,312,-19,-614,39,146
351,-302,-653,-24,502,-478,429,341,29,-624,-19,97
283,-292,-575,4,429,-434,439,390,97,-605,-48,58
214,-263,-478,24,346,-370,478,429,175,-527,-39,19
146,-234,-380,43,263,-307,527,478,273,-458,-39,-9
97,-224,-322,63,209,-273,566,536,370,-429,-39,-39
78,-214,-292,68,185,-253,614,605,439,-409,-39,-58
29,-195,-224,82,126,-209,663,653,458,-409,-39,-58
-48,-195,-146,122,48,-170,692,673,409,-439,-58,-78
-78,-195,-117,136,19,-156,732,722,380,-429,-68,-87
-97,-175,-78,136,-9,-126,751,780,400,-429,-68,-78
-136,-175,-39,156,-48,-107,761,839,419,-419,-58,-78
-146,-185,-39,165,-53,-112,780,897,400,-429,-68,-87
-156,-185,-29,170,-63,-107,800,927,341,-439,-78,-97
-146,-195,-48,170,-48,-122,839,976,302,-448,-87,-97
-156,-195,-39,175,-58,-117,868,1044,312,-468,-97,-107
-165,-195,-29,180,-68,-112,868,1083,283,-497,-117,-117
-175,-195,-19,185,-78,-107,858,1102,244,-488,-117,-117
-185,-195,-9,190,-87,-102,878,1112,204,-488,-117,-117
-185,-204,-19,195,-82,-112,897,1122,156,-507,-117,-107
-195,-214,-19,204,-87,-117,917,1132,136,-497,-117,-97
-204,-224,-19,214,-92,-122,936,1141,126,-488,-117,-97
-204,-214,-9,209,-97,-112,976,1161,136,-468,-107,-87
-185,-185,0,185,-92,-92,985,1161,165,-448,-97,-87
-185,-175,9,180,-97,-82,995,1161,185,-439,-97,-78
-195,-175,19,185,-107,-78,1024,1122,175,-439,-97,-68
-214,-185,29,200,-122,-78,1054,1063,156,-439,-107,-68
-214,-185,29,200,-122,-78,1024,1005,117,-439,-97,-68
-214,-185,29,200,-122,-78,966,917,87,-429,-87,-58
-204,-156,48,180,-126,-53,878,810,58,-409,-68,-39
-185,-126,58,156,-122,-34,829,741,29,-390,-48,-19
-156,-107,48,131,-102,-29,810,673,-9,-380,-29,-9
-146,-107,39,126,-92,-34,771,585,-48,-380,-29,0
-136,-87,48,112,-92,-19,692,458,-97,-380,-19,19
-107,-68,39,87,-73,-14,624,370,-117,-351,0,48
-97,-58,39,78,-68,-9,575,312,-117,-331,19,68
-107,-58,48,82,-78,-4,546,263,-117,-341,29,78
-92,-48,43,70,-68,-2,546,253,-102,-336,34,87
-87,-48,39,68,-63,-4,546,253,-97,-331,39,87
-82,-48,34,65,-58,-7,546,253,-92,-326,43,87
-78,-48,29,63,-53,-9,546,253,-87,-322,48,87
-73,-48,24,61,-48,-12,546,244,-97,-312,63,97
-68,-48,19,58,-43,-14,546,244,-97,-312,68,97
-63,-48,14,56,-39,-17,546,244,-97,-312,73,97
-58,-48,9,53,-34,-19,546,244,-97,-312,78,97
-48,-48,0,48,-24,-24,556,229,-87,-312,87,97
-48,-48,0,48,-24,-24,556,224,-87,-312,87,97
-48,-48,0,48,-24,-24,556,219,-87,-312,87,97
-48,-48,0,48,-24,-24,556,214,-87,-312,87,97
-43,-43,0,43,-21,-21,566,209,-97,-302,97,87
-39,-39,0,39,-19,-19,566,204,-97,-302,97,87
-34,-34,0,34,-17,-17,566,200,-97,-302,97,87
-29,-29,0,29,-14,-14,566,195,-97,-302,97,87
-39,-19,19,29,-29,0,580,185,-107,-312,97,87
-39,-19,19,29,-29,0,585,185,-107,-312,97,87
-39,-19,19,29,-29,0,590,185,-107,-312,97,87
-39,-19,19,29,-29,0,595,185,-107,-312,97,87
-39,-19,19,29,-29,0,605,180,-107,-312,87,78
-39,-19,19,29,-29,0,614,175,-107,-312,87,78
-39,-19,19,29,-29,0,624,170,-107,-312,87,78
-39,-19,19,29,-29,0,634,165,-107,-312,87,78
-48,-29,19,39,-34,-4,624,165,-112,-322,97,78
-48,-29,19,39,-34,-4,624,165,-117,-322,97,78
-48,-29,19,39,-34,-4,624,165,-122,-322,97,78
