I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,19,19,-9,-9,19,29,-9,-9,19,-29,-48
0,19,19,-9,-9,19,29,-9,-9,19,-29,-48
0,19,19,-9,-9,19,29,-9,-9,19,-29,-48
0,19,19,-9,-9,19,29,-9,-9,19,-29,-48
-9,4,14,2,-12,9,19,-14,-9,9,-34,-63
-19,0,19,9,-19,9,19,-19,-9,9,-39,-68
-29,-4,24,17,-26,9,19,-24,-9,9,-43,-73
-39,-9,29,24,-34,9,19,-29,-9,9,-48,-78
-29,0,29,14,-29,14,24,-24,-14,4,-48,-73
-29,0,29,14,-29,14,29,-19,-19,0,-48,-68
-29,0,29,14,-29,14,34,-14,-24,-4,-48,-63
-29,0,29,14,-29,14,39,-9,-29,-9,-48,-58
-29,4,34,12,-31,19,29,-14,-19,0,-48,-73
-29,9,39,9,-34,24,29,-19,-19,0,-48,-78
-29,14,43,7,-36,29,29,-24,-19,0,-48,-82
-29,19,48,4,-39,34,29,-29,-19,0,-48,-87
-24,19,43,2,-34,31,39,-24,-29,-9,-58,-82
-19,19,39,0,-29,29,39,-19,-29,-9,-58,-78
-14,19,34,-2,-24,26,39,-14,-29,-9,-58,-73
-9,19,29,-4,-19,24,39,-9,-29,-9,-58,-68
-24,4,29,9,-26,17,29,-14,-29,-14,-63,-78
-29,0,29,14,-29,14,29,-19,-29,-19,-68,-87
-34,-4,29,19,-31,12,29,-24,-29,-24,-73,-97
-39,-9,29,24,-34,9,29,-29,-29,-29,-78,-107
-48,-14,34,31,-41,9,19,-29,-39,-29,-68,-102
-48,-19,29,34,-39,4,19,-29,-39,-29,-68,-97
-48,-24,24,36,-36,0,19,-29,-39,-29,-68,-92
-48,-29,19,39,-34,-4,19,-29,-39,-29,-68,-87
-43,-24,19,34,-31,-2,29,-29,-29,-39,-78,-78
-39,-19,19,29,-29,0,29,-29,-29,-39,-78,-78
-34,-14,19,24,-26,2,29,-29,-29,-39,-78,-78
-29,-9,19,19,-24,4,29,-29,-29,-39,-78,-78
-19,-9,9,14,-14,0,39,-19,-29,-24,-68,-87
-19,-9,9,14,-14,0,39,-19,-29,-19,-68,-87
-19,-9,9,14,-14,0,39,-19,-29,-14,-68,-87
-19,-9,9,14,-14,0,39,-19,-29,-9,-68,-87
-29,-4,24,17,-26,9,29,-29,-39,-14,-78,-97
-29,0,29,14,-29,14,29,-29,-39,-19,-78,-97
-29,4,34,12,-31,19,29,-29,-39,-24,-78,-97
-29,9,39,9,-34,24,29,-29,-39,-29,-78,-97
-29,-4,24,17,-26,9,29,-39,-39,-34,-78,-107
-34,-19,14,26,-24,-2,29,-34,-39,-39,-82,-107
-43,-19,24,31,-34,2,19,-34,-39,-43,-87,-107
-43,-19,24,31,-34,2,19,-34,-43,-43,-87,-107
-29,-4,24,17,-26,9,34,-34,-43,-39,-82,-97
-29,-19,9,24,-19,-4,34,-34,-43,-34,-82,-92
-29,-19,9,24,-19,-4,34,-34,-43,-34,-82,-87
-29,-9,19,19,-24,4,39,-29,-43,-34,-82,-82
-19,4,24,7,-21,14,29,-39,-48,-43,-92,-87
