I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-68,-68,0,68,-34,-34,19,-58,-39,-29,-39,-39
-68,-68,0,68,-34,-34,19,-58,-39,-29,-39,-39
-68,-68,0,68,-34,-34,19,-58,-39,-29,-39,-39
-68,-68,0,68,-34,-34,19,-58,-39,-29,-39,-39
-63,-58,4,61,-34,-26,9,-63,-48,-39,-53,-53
-58,-58,0,58,-29,-29,9,-68,-48,-39,-58,-58
-53,-58,-4,56,-24,-31,9,-73,-48,-39,-63,-63
-48,-58,-9,53,-19,-34,9,-78,-48,-39,-68,-68
-34,-58,-24,46,-4,-41,9,-68,-39,-29,-63,-63
-29,-58,-29,43,0,-43,9,-68,-39,-29,-58,-58
-24,-58,-34,41,4,-46,9,-68,-39,-29,-53,-53
-19,-58,-39,39,9,-48,9,-68,-39,-29,-48,-48
-34,-53,-19,43,-7,-36,24,-63,-24,-19,-48,-39
-39,-48,-9,43,-14,-29,29,-58,-19,-19,-48,-39
-43,-43,0,43,-21,-21,34,-53,-14,-19,-48,-39
-48,-39,9,43,-29,-14,39,-48,-19,-19,-43,-39
-48,-29,19,39,-34,-4,39,-53,-19,-19,-34,-34
-58,-29,29,43,-43,0,43,-53,-9,-14,-34,-34
-53,-29,24,41,-39,-2,48,-48,-4,-14,-34,-34
-43,-24,19,34,-31,-2,48,-48,-4,-14,-34,-34
-53,-14,39,34,-46,12,53,-53,-4,-4,-24,-34
-58,-4,53,31,-56,24,53,-53,-4,0,-24,-34
-58,0,58,29,-58,29,53,-48,-4,0,-24,-34
-63,9,73,26,-68,41,58,-48,0,0,-24,-34
-43,24,68,9,-56,46,68,-39,4,0,-24,-24
-39,24,63,7,-51,43,68,-39,9,4,-19,-4
-34,9,43,12,-39,26,58,-34,9,4,-19,-14
-24,9,34,7,-29,21,48,-34,14,4,-19,-19
0,29,29,-14,-14,29,34,-29,24,14,-14,-14
19,43,24,-31,-2,34,29,-39,29,19,-14,-4
24,53,29,-39,-2,41,19,-48,29,24,-14,0
24,58,34,-41,-4,46,9,-48,19,24,-9,4
4,43,39,-24,-17,41,14,-53,14,24,-4,4
-4,34,39,-14,-21,36,4,-63,9,19,0,9
-4,29,34,-12,-19,31,-4,-63,9,19,0,9
-14,9,24,2,-19,17,-9,-68,9,19,-4,4
-14,9,24,2,-19,17,-29,-68,4,4,-4,-4
-19,14,34,2,-26,24,-34,-78,0,0,-14,-9
-19,14,34,2,-26,24,-39,-87,-9,-4,-14,-9
-19,19,39,0,-29,29,-43,-87,-9,-4,-14,-9
-14,29,43,-7,-29,36,-43,-82,0,0,-14,-9
4,34,29,-19,-12,31,-39,-73,0,9,0,4
24,43,19,-34,2,31,-34,-68,9,19,4,14
29,43,14,-36,7,29,-34,-63,9,24,4,14
24,24,0,-24,12,12,-34,-53,9,24,14,14
34,24,-9,-29,21,7,-43,-58,0,19,4,9
34,14,-19,-24,26,-2,-43,-58,-4,14,0,4
29,14,-14,-21,21,0,-39,-63,-9,9,-4,0
19,0,-19,-9,19,-9,-39,-82,-19,-9,-14,-4
9,-14,-24,2,17,-19,-39,-82,-24,-14,-19,-9
