I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-58,-58,29,29,-58,-136,546,253,9,-97,-39
0,-58,-58,29,29,-58,-136,546,253,9,-97,-39
0,-58,-58,29,29,-58,-136,546,253,9,-97,-39
0,-58,-58,29,29,-58,-136,546,253,9,-97,-39
19,-73,-92,26,56,-82,-107,536,268,0,-92,-29
29,-78,-107,24,68,-92,-87,527,273,0,-87,-19
39,-82,-122,21,80,-102,-68,517,278,0,-82,-9
48,-87,-136,19,92,-112,-48,507,283,0,-78,0
29,-68,-97,19,63,-82,-53,458,244,-48,-107,-24
19,-58,-78,19,48,-68,-58,419,214,-87,-136,-48
9,-48,-58,19,34,-53,-63,380,185,-126,-165,-73
0,-39,-39,19,19,-39,-68,341,156,-165,-195,-97
4,-48,-53,21,29,-51,-58,302,131,-156,-214,-112
9,-58,-68,24,39,-63,-58,263,117,-156,-224,-117
14,-68,-82,26,48,-75,-58,224,102,-156,-234,-122
19,-78,-97,29,58,-87,-58,185,87,-156,-244,-126
-4,-92,-87,48,41,-90,-29,200,68,-190,-268,-126
-29,-97,-68,63,19,-82,-9,214,48,-214,-283,-126
-53,-102,-48,78,-2,-75,9,229,29,-239,-297,-126
-78,-107,-29,92,-24,-68,29,244,9,-263,-312,-126
-82,-117,-34,100,-24,-75,19,239,-24,-322,-341,-151
-87,-126,-39,107,-24,-82,9,234,-48,-370,-370,-165
-92,-136,-43,114,-24,-90,0,229,-73,-419,-400,-180
-97,-146,-48,122,-24,-97,-9,224,-97,-468,-429,-195
-107,-161,-53,134,-26,-107,-9,190,-131,-488,-468,-219
-107,-165,-58,136,-24,-112,-9,156,-156,-507,-497,-234
-107,-170,-63,139,-21,-117,-9,122,-180,-527,-527,-248
-107,-175,-68,141,-19,-122,-9,87,-204,-546,-556,-263
-136,-200,-63,168,-36,-131,19,107,-234,-575,-566,-278
-165,-214,-48,190,-58,-131,39,126,-253,-595,-575,-283
-195,-229,-34,212,-80,-131,58,146,-273,-614,-585,-287
