I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
97,68,-29,-82,63,19,-9,341,527,448,302,117
97,68,-29,-82,63,19,-9,341,527,448,302,117
97,68,-29,-82,63,19,-9,341,527,448,302,117
97,68,-29,-82,63,19,-9,341,527,448,302,117
87,78,-9,-82,48,34,-9,331,512,439,292,107
78,78,0,-78,39,39,-9,331,507,439,292,107
68,78,9,-73,29,43,-9,331,502,439,292,107
58,78,19,-68,19,48,-9,331,497,439,292,107
48,68,19,-58,14,43,0,317,483,429,283,107
48,68,19,-58,14,43,0,312,478,419,283,107
48,68,19,-58,14,43,0,307,473,409,283,107
48,68,19,-58,14,43,0,302,468,400,283,107
48,53,4,-51,21,29,-4,287,444,380,263,92
48,48,0,-48,24,24,-9,273,419,361,253,87
48,43,-4,-46,26,19,-14,258,395,341,244,82
48,39,-9,-43,29,14,-19,244,370,322,234,78
58,39,-19,-48,39,9,-29,219,351,302,214,68
68,39,-29,-53,48,4,-29,204,331,283,204,58
78,39,-39,-58,58,0,-29,190,312,263,195,48
87,39,-48,-63,68,-4,-29,175,292,244,185,39
58,39,-19,-48,39,9,-19,165,273,229,170,39
39,39,0,-39,19,19,-9,156,253,214,165,39
19,39,19,-29,0,29,0,146,234,200,161,39
0,39,39,-19,-19,39,9,136,214,185,156,39
-24,29,53,-2,-39,41,19,126,200,170,141,29
-39,19,58,9,-48,39,19,117,185,156,136,29
-53,9,63,21,-58,36,19,107,170,141,131,29
-68,0,68,34,-68,34,19,97,156,126,126,29
-58,-4,53,31,-56,24,9,78,136,102,112,9
-58,-9,48,34,-53,19,9,68,117,87,97,0
-58,-14,43,36,-51,14,9,58,97,73,82,-9
-58,-19,39,39,-48,9,9,48,78,58,68,-19
-53,-29,24,41,-39,-2,19,39,58,43,58,-34
-48,-29,19,39,-34,-4,19,29,48,29,48,-39
-43,-29,14,36,-29,-7,19,19,39,14,39,-43
-39,-29,9,34,-24,-9,19,9,29,0,29,-48
-39,-29,9,34,-24,-9,29,0,9,-14,24,-58
-39,-29,9,34,-24,-9,29,0,0,-19,19,-58
-39,-29,9,34,-24,-9,29,0,-9,-24,14,-58
-39,-29,9,34,-24,-9,29,0,-19,-29,9,-58
-43,-39,4,41,-24,-17,29,-4,-29,-34,-4,-63
-48,-39,9,43,-29,-14,29,-9,-29,-39,-9,-68
-53,-39,14,46,-34,-12,29,-14,-29,-43,-14,-73
-58,-39,19,48,-39,-9,29,-19,-29,-48,-19,-78
-53,-43,9,48,-31,-17,29,-19,-34,-53,-19,-78
-48,-48,0,48,-24,-24,29,-19,-39,-58,-19,-78
-43,-53,-9,48,-17,-31,29,-19,-43,-63,-19,-78
-39,-58,-19,48,-9,-39,29,-19,-48,-68,-19,-78
-29,-48,-19,39,-4,-34,19,-29,-48,-68,-29,-87
-29,-48,-19,39,-4,-34,19,-29,-48,-68,-29,-87
-29,-48,-19,39,-4,-34,19,-29,-48,-68,-29,-87
-29,-48,-19,39,-4,-34,19,-29,-48,-68,-29,-87
-39,-58,-19,48,-9,-39,24,-24,-39,-63,-24,-82
-48,-58,-9,53,-19,-34,29,-19,-39,-58,-19,-78
-58,-58,0,58,-29,-29,34,-14,-39,-53,-14,-73
-68,-58,9,63,-39,-24,39,-9,-39,-48,-9,-68
-78,-48,29,63,-53,-9,39,0,-29,-39,0,-68
-78,-48,29,63,-53,-9,39,0,-29,-39,0,-68
-78,-48,29,63,-53,-9,39,0,-29,-39,0,-68
-78,-48,29,63,-53,-9,39,0,-29,-39,0,-68
-63,-58,4,61,-34,-26,29,0,-29,-39,0,-68
-58,-58,0,58,-29,-29,29,0,-29,-39,0,-68
-53,-58,-4,56,-24,-31,29,0,-29,-39,0,-68
-48,-58,-9,53,-19,-34,29,0,-29,-39,0,-68
-53,-63,-9,58,-21,-36,19,-9,-29,-39,-9,-73
-58,-68,-9,63,-24,-39,19,-9,-29,-39,-9,-78
-63,-73,-9,68,-26,-41,19,-9,-29,-39,-9,-82
-68,-78,-9,73,-29,-43,19,-9,-29,-39,-9,-87
-63,-78,-14,70,-24,-46,19,0,-19,-29,0,-78
-58,-78,-19,68,-19,-48,19,0,-19,-29,0,-78
-53,-78,-24,65,-14,-51,19,0,-19,-29,0,-78
-48,-78,-29,63,-9,-53,19,0,-19,-29,0,-78
-43,-63,-19,53,-12,-41,29,9,-9,-24,9,-73
-39,-58,-19,48,-9,-39,29,9,-9,-19,9,-68
-34,-53,-19,43,-7,-36,29,9,-9,-14,9,-63
-29,-48,-19,39,-4,-34,29,9,-9,-9,9,-58
-39,-58,-19,48,-9,-39,19,0,-19,-19,9,-68
-29,-58,-29,43,0,-43,19,-4,-19,-24,9,-68
-29,-58,-29,43,0,-43,19,-4,-19,-24,9,-68
-29,-58,-29,43,0,-43,19,0,-19,-19,9,-68
-29,-53,-24,41,-2,-39,14,0,-19,-14,14,-68
-34,-53,-19,43,-7,-36,14,0,-19,-14,14,-68
-34,-53,-19,43,-7,-36,4,-9,-24,-24,4,-78
