I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
19,175,156,-97,-68,165,136,507,653,312,78,29
19,175,156,-97,-68,165,136,507,653,312,78,29
19,175,156,-97,-68,165,136,507,653,312,78,29
19,175,156,-97,-68,165,136,507,653,312,78,29
39,165,126,-102,-43,146,131,488,639,307,68,9
48,156,107,-102,-29,131,126,478,634,302,58,0
58,146,87,-102,-14,117,122,468,629,297,48,-9
68,136,68,-102,0,102,117,458,624,292,39,-19
58,141,82,-100,-12,112,136,478,649,312,53,-4
48,146,97,-97,-24,122,146,497,673,322,58,0
39,151,112,-95,-36,131,156,517,697,331,63,4
29,156,126,-92,-48,141,165,536,722,341,68,9
63,180,117,-122,-26,148,180,556,736,356,87,19
87,195,107,-141,-9,151,195,566,751,370,97,29
112,209,97,-161,7,153,209,575,766,385,107,39
136,224,87,-180,24,156,224,585,780,400,117,48
107,195,87,-151,9,141,219,600,790,385,107,34
78,175,97,-126,-9,136,214,605,790,380,97,29
48,156,107,-102,-29,131,209,610,790,375,87,24
19,136,117,-78,-48,126,204,614,790,370,78,19
-4,122,126,-58,-65,124,175,600,775,356,68,4
-29,117,146,-43,-87,131,156,585,761,351,58,-9
-53,112,165,-29,-109,139,136,570,746,346,48,-24
-78,107,185,-14,-131,146,117,556,732,341,39,-39
-78,97,175,-9,-126,136,122,566,736,341,39,-29
-78,87,165,-4,-122,126,126,566,741,341,39,-29
-78,78,156,0,-117,117,131,566,746,341,39,-29
-78,68,146,4,-112,107,136,566,751,341,39,-29
-63,78,141,-7,-102,109,122,566,746,341,48,-19
-58,78,136,-9,-97,107,117,566,741,341,48,-19
-53,78,131,-12,-92,104,112,566,736,341,48,-19
-48,78,126,-14,-87,102,107,566,732,341,48,-19
-92,24,117,34,-104,70,87,541,702,317,19,-39
-136,-19,117,78,-126,48,68,517,683,292,0,-58
-180,-63,117,122,-148,26,48,492,663,268,-19,-78
-224,-107,117,165,-170,4,29,468,644,244,-39,-97
-200,-82,117,141,-158,17,29,463,624,239,-48,-97
-175,-68,107,122,-141,19,29,458,614,234,-48,-97
-151,-53,97,102,-124,21,29,453,605,229,-48,-97
-126,-39,87,82,-107,24,29,448,595,224,-48,-97
-161,-73,87,117,-124,7,39,439,585,214,-48,-97
-195,-97,97,146,-146,0,39,439,585,214,-48,-97
-229,-122,107,175,-168,-7,39,439,585,214,-48,-97
-263,-146,117,204,-190,-14,39,439,585,214,-48,-97
-273,-122,151,197,-212,14,53,429,570,224,-39,-87
-273,-107,165,190,-219,29,58,429,566,224,-39,-78
-273,-92,180,183,-226,43,63,429,561,224,-39,-68
-273,-78,195,175,-234,58,68,429,556,224,-39,-58
-244,-87,156,165,-200,34,53,405,536,200,-48,-68
-224,-97,126,161,-175,14,48,390,517,185,-58,-78
-204,-107,97,156,-151,-4,43,375,497,170,-68,-87
-185,-117,68,151,-126,-24,39,361,478,156,-78,-97
-195,-102,92,148,-143,-4,29,351,463,151,-68,-92
-195,-97,97,146,-146,0,19,341,448,146,-68,-87
-195,-92,102,143,-148,4,9,331,434,141,-68,-82
-195,-87,107,141,-151,9,0,322,419,136,-68,-78
-185,-97,87,141,-136,-4,-14,322,409,126,-58,-73
-175,-107,68,141,-122,-19,-19,322,400,126,-58,-68
-165,-117,48,141,-107,-34,-24,322,390,126,-58,-63
-156,-126,29,141,-92,-48,-29,322,380,126,-58,-58
-185,-131,53,158,-119,-39,-19,292,351,117,-68,-48
-214,-136,78,175,-146,-29,-9,273,331,107,-68,-48
-244,-141,102,192,-173,-19,0,253,312,97,-68,-48
-273,-146,126,209,-200,-9,9,234,292,87,-68,-48
-219,-112,107,165,-163,-2,24,219,278,87,-48,-39
-175,-78,97,126,-136,9,29,214,273,87,-39,-29
-131,-43,87,87,-109,21,34,209,268,87,-29,-19
-87,-9,78,48,-82,34,39,204,263,87,-19,-9
-102,-39,63,70,-82,12,29,180,239,73,-29,-24
