I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
175,136,-39,-156,107,48,58,263,351,195,29,-185
175,136,-39,-156,107,48,58,263,351,195,29,-185
175,136,-39,-156,107,48,58,263,351,195,29,-185
175,136,-39,-156,107,48,58,263,351,195,29,-185
190,141,-48,-165,119,46,63,268,366,200,34,-175
195,146,-48,-170,122,48,68,273,370,204,39,-175
200,151,-48,-175,124,51,73,278,375,209,43,-175
204,156,-48,-180,126,53,78,283,380,214,48,-175
190,146,-43,-168,117,51,68,292,380,204,43,-190
185,146,-39,-165,112,53,68,292,380,204,39,-195
180,146,-34,-163,107,56,68,292,380,204,34,-200
175,146,-29,-161,102,58,68,292,380,204,29,-204
185,136,-48,-161,117,43,78,297,390,214,29,-204
185,136,-48,-161,117,43,78,302,390,214,29,-204
185,136,-48,-161,117,43,78,307,390,214,29,-204
185,136,-48,-161,117,43,78,312,390,214,29,-204
175,136,-39,-156,107,48,68,322,400,214,19,-214
175,136,-39,-156,107,48,68,322,400,214,19,-214
175,136,-39,-156,107,48,68,322,400,214,19,-214
175,136,-39,-156,107,48,68,322,400,214,19,-214
175,136,-39,-156,107,48,78,322,400,204,19,-224
175,136,-39,-156,107,48,78,322,400,204,19,-224
175,136,-39,-156,107,48,78,322,400,204,19,-224
175,136,-39,-156,107,48,78,322,400,204,19,-224
180,151,-29,-165,104,61,78,326,405,214,19,-224
185,156,-29,-170,107,63,78,331,409,214,19,-224
190,161,-29,-175,109,65,78,336,414,214,19,-224
195,165,-29,-180,112,68,78,341,419,214,19,-224
190,161,-29,-175,109,65,78,331,414,200,4,-234
185,156,-29,-170,107,63,78,331,409,195,0,-234
180,151,-29,-165,104,61,78,331,405,190,-4,-234
175,146,-29,-161,102,58,78,331,400,185,-9,-234
165,131,-34,-148,100,48,68,322,390,180,-24,-239
165,126,-39,-146,102,43,68,322,390,175,-29,-244
165,122,-43,-143,104,39,68,322,390,170,-34,-248
165,117,-48,-141,107,34,68,322,390,165,-39,-253
156,131,-24,-143,90,53,78,322,380,161,-48,-253
156,136,-19,-146,87,58,78,322,380,156,-48,-253
156,141,-14,-148,85,63,78,322,380,151,-48,-253
156,146,-9,-151,82,68,78,322,380,146,-48,-253
146,136,-9,-141,78,63,68,317,366,141,-63,-263
146,136,-9,-141,78,63,68,312,361,136,-68,-263
146,136,-9,-141,78,63,68,307,356,131,-73,-263
146,136,-9,-141,78,63,68,302,351,126,-78,-263
