I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-185,-136,48,161,-117,-43,29,-107,-126,-234,-302,-507
-185,-136,48,161,-117,-43,29,-107,-126,-234,-302,-507
-185,-136,48,161,-117,-43,29,-107,-126,-234,-302,-507
-185,-136,48,161,-117,-43,29,-107,-126,-234,-302,-507
-185,-146,39,165,-112,-53,39,-97,-117,-244,-292,-507
-185,-146,39,165,-112,-53,39,-97,-117,-244,-292,-507
-185,-146,39,165,-112,-53,39,-97,-117,-244,-292,-507
-185,-146,39,165,-112,-53,39,-97,-117,-244,-292,-507
-185,-136,48,161,-117,-43,39,-107,-126,-234,-292,-492
-185,-136,48,161,-117,-43,39,-107,-126,-234,-292,-488
-185,-136,48,161,-117,-43,39,-107,-126,-234,-292,-483
-185,-136,48,161,-117,-43,39,-107,-126,-234,-292,-478
-185,-136,48,161,-117,-43,39,-107,-126,-263,-312,-527
-185,-136,48,161,-117,-43,39,-97,-117,-253,-312,-517
-185,-136,48,161,-117,-43,48,-97,-117,-253,-312,-507
-185,-126,58,156,-122,-34,48,-97,-126,-253,-312,-497
-185,-97,87,141,-136,-4,39,-117,-136,-244,-312,-468
-195,-58,136,126,-165,39,29,-136,-156,-253,-322,-468
-204,-48,156,126,-180,53,29,-146,-165,-273,-322,-478
-204,-58,146,131,-175,43,48,-136,-146,-273,-322,-468
-204,-68,136,136,-170,34,58,-97,-117,-273,-312,-478
-204,-68,136,136,-170,34,78,-39,-68,-234,-273,-458
-214,-68,146,141,-180,39,107,19,0,-175,-224,-419
-185,-68,117,126,-151,24,117,48,68,-97,-165,-380
-126,-68,58,97,-92,-4,107,78,136,19,-48,-283
-68,-68,0,68,-34,-34,68,87,204,156,87,-185
0,-78,-78,39,39,-78,29,78,263,283,234,-117
68,-87,-156,9,112,-122,-29,58,341,448,400,-29
156,-58,-214,-48,185,-136,-126,39,439,653,624,78
273,29,-244,-151,258,-107,-263,-19,527,888,888,224
390,107,-283,-248,336,-87,-409,-146,546,1093,1102,400
448,78,-370,-263,409,-146,-497,-263,507,1180,1200,478
497,-19,-517,-239,507,-268,-497,-292,478,1180,1190,488
507,-107,-614,-200,561,-361,-488,-302,448,1112,1102,439
488,-214,-702,-136,595,-458,-478,-322,390,966,946,312
468,-292,-761,-87,614,-527,-468,-380,292,800,780,195
429,-331,-761,-48,595,-546,-488,-497,126,624,614,87
361,-351,-712,-4,536,-531,-517,-653,-87,409,429,-29
253,-341,-595,43,424,-468,-527,-800,-322,204,253,-107
136,-312,-448,87,292,-380,-507,-878,-468,48,97,-136
0,-302,-302,151,151,-302,-439,-868,-536,-87,-68,-214
-136,-341,-204,239,34,-273,-331,-810,-605,-253,-283,-322
-244,-351,-107,297,-68,-229,-244,-800,-722,-468,-497,-448
-292,-331,-39,312,-126,-185,-195,-800,-819,-644,-605,-527
-292,-283,9,287,-151,-136,-146,-761,-839,-712,-634,-546
