I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
48,126,78,-87,-14,102,107,97,87,126,39,-39
58,117,58,-87,0,87,126,126,117,136,39,-39
68,126,58,-97,4,92,146,165,156,165,58,-9
48,107,58,-78,-4,82,165,204,195,185,87,0
58,87,29,-73,14,58,175,244,224,195,78,-9
78,48,-29,-63,53,9,185,292,253,175,58,-29
117,29,-87,-73,102,-29,204,351,302,175,58,-29
175,19,-156,-97,165,-68,195,409,361,195,87,-9
214,-9,-224,-102,219,-117,165,458,400,234,146,19
253,-39,-292,-107,273,-165,156,478,419,244,195,68
322,-58,-380,-131,351,-219,126,497,439,263,253,117
380,-78,-458,-151,419,-268,97,517,478,302,322,195
478,-87,-566,-195,522,-326,58,556,546,341,331,234
556,-117,-673,-219,614,-395,19,575,595,322,292,224
624,-146,-771,-239,697,-458,-39,556,605,292,244,195
712,-146,-858,-283,785,-502,-97,527,624,292,204,185
780,-146,-927,-317,854,-536,-136,517,683,322,165,136
829,-175,-1005,-326,917,-590,-165,536,761,351,97,39
917,-204,-1122,-356,1019,-663,-204,546,819,341,-9,-48
985,-214,-1200,-385,1093,-707,-253,536,858,331,-107,-126
1044,-244,-1288,-400,1166,-766,-263,575,946,380,-146,-204
1112,-263,-1376,-424,1244,-819,-253,683,1112,497,-156,-322
1122,-322,-1444,-400,1283,-883,-244,722,1141,478,-234,-458
1073,-390,-1464,-341,1268,-927,-224,653,829,87,-497,-605
946,-439,-1385,-253,1166,-912,-175,536,361,-478,-858,-771
810,-468,-1278,-170,1044,-873,-87,488,68,-800,-1093,-897
683,-468,-1151,-107,917,-810,-9,458,-29,-878,-1161,-966
507,-458,-966,-24,736,-712,39,361,-146,-917,-1200,-995
253,-439,-692,92,473,-566,117,234,-322,-976,-1239,-995
39,-400,-439,180,239,-419,214,204,-400,-966,-1220,-966
-68,-370,-302,219,117,-336,312,273,-322,-878,-1161,-927
-87,-341,-253,214,82,-297,370,400,-185,-771,-1083,-897
-107,-283,-175,195,34,-229,448,556,-9,-644,-976,-839
-195,-253,-58,224,-68,-156,546,722,156,-507,-868,-771
-224,-263,-39,244,-92,-151,634,897,322,-390,-790,-732
-195,-273,-78,234,-58,-175,712,1083,468,-302,-732,-702
-204,-292,-87,248,-58,-190,790,1249,595,-204,-663,-673
-195,-302,-107,248,-43,-204,858,1346,644,-136,-605,-634
-204,-292,-87,248,-58,-190,888,1307,575,-117,-575,-595
-214,-283,-68,248,-73,-175,907,1239,478,-126,-546,-566
-204,-244,-39,224,-82,-141,927,1171,400,-146,-517,-527
-214,-224,-9,219,-102,-117,927,1083,302,-175,-478,-488
-234,-224,9,229,-122,-107,927,966,175,-253,-488,-478
-214,-224,-9,219,-102,-117,897,810,9,-361,-536,-478
-234,-244,-9,239,-112,-126,849,614,-175,-458,-556,-468
-253,-263,-9,258,-122,-136,829,468,-283,-488,-536,-439
-234,-263,-29,248,-102,-146,839,439,-283,-468,-517,-419
-244,-273,-29,258,-107,-151,829,400,-283,-429,-478,-400
-234,-253,-19,244,-107,-136,771,292,-302,-400,-439,-370
-234,-224,9,229,-122,-107,692,165,-322,-361,-380,-322
-214,-175,39,195,-126,-68,614,58,-312,-312,-322,-283
-165,-107,58,136,-112,-24,546,0,-283,-244,-253,-224
-156,-78,78,117,-117,0,478,-39,-263,-195,-195,-175
-136,-58,78,97,-107,9,370,-97,-253,-156,-146,-126
-78,0,78,39,-78,39,244,-136,-234,-107,-97,-78
-39,29,68,4,-53,48,165,-117,-185,-58,-58,-39
-29,39,68,-4,-48,53,146,-68,-126,-9,-19,-9
9,58,48,-34,-19,53,126,-29,-87,19,9,9
9,68,58,-39,-24,63,117,-19,-68,48,29,9
9,78,68,-43,-29,73,107,-9,-48,58,48,29
29,107,78,-68,-24,92,97,-29,-68,58,48,39
19,117,97,-68,-39,107,87,-39,-82,48,48,48
19,117,97,-68,-39,107,78,-48,-87,48,48,48
19,117,97,-68,-39,107,68,-58,-92,48,48,48
19,117,97,-68,-39,107,58,-68,-97,48,48,48
9,126,117,-68,-53,122,43,-78,-92,53,53,48
9,126,117,-68,-53,122,39,-78,-87,58,58,48
9,126,117,-68,-53,122,34,-78,-82,63,63,48
9,126,117,-68,-53,122,29,-78,-78,68,68,48
0,126,126,-63,-63,126,29,-82,-82,68,73,63
0,126,126,-63,-63,126,29,-87,-87,68,78,68
