I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
97,244,146,-170,-24,195,-419,224,595,1005,956,732
97,244,146,-170,-24,195,-419,224,595,1005,956,732
97,244,146,-170,-24,195,-419,224,595,1005,956,732
97,244,146,-170,-24,195,-419,224,595,1005,956,732
82,297,214,-190,-65,256,-429,131,488,902,883,712
68,341,273,-204,-102,307,-429,39,390,810,810,702
53,385,331,-219,-139,358,-429,-53,292,717,736,692
39,429,390,-234,-175,409,-429,-146,195,624,663,683
-9,409,419,-200,-214,414,-429,-302,-73,287,405,468
-58,400,458,-170,-258,429,-429,-448,-331,-48,146,263
-107,390,497,-141,-302,444,-429,-595,-590,-385,-112,58
-156,380,536,-112,-346,458,-429,-741,-849,-722,-370,-146
-165,351,517,-92,-341,434,-429,-756,-912,-780,-444,-224
-175,322,497,-73,-336,409,-429,-771,-966,-839,-517,-292
-185,292,478,-53,-331,385,-429,-785,-1019,-897,-590,-361
-195,263,458,-34,-326,361,-429,-800,-1073,-956,-663,-429
-170,229,400,-29,-285,314,-439,-707,-976,-863,-610,-400
-156,204,361,-24,-258,283,-439,-624,-878,-780,-566,-380
-141,180,322,-19,-231,251,-439,-541,-780,-697,-522,-361
-126,156,283,-14,-204,219,-439,-458,-683,-614,-478,-341
-97,131,229,-17,-163,180,-439,-375,-580,-522,-419,-297
-78,117,195,-19,-136,156,-439,-302,-488,-439,-361,-263
-58,102,161,-21,-109,131,-439,-229,-395,-356,-302,-229
-39,87,126,-24,-82,107,-439,-156,-302,-273,-244,-195
-29,97,126,-34,-78,112,-439,-126,-253,-229,-214,-165
-19,97,117,-39,-68,107,-439,-97,-204,-185,-185,-146
-9,97,107,-43,-58,102,-439,-68,-156,-141,-156,-126
0,97,97,-48,-48,97,-439,-39,-107,-97,-126,-107
9,82,73,-46,-31,78,-448,-19,-82,-82,-107,-97
9,78,68,-43,-29,73,-448,0,-68,-68,-97,-97
9,73,63,-41,-26,68,-448,19,-53,-53,-87,-97
9,68,58,-39,-24,63,-448,39,-39,-39,-78,-97
14,58,43,-36,-14,51,-448,48,-24,-24,-68,-87
19,58,39,-39,-9,48,-448,48,-19,-19,-68,-87
24,58,34,-41,-4,46,-448,48,-14,-14,-68,-87
29,58,29,-43,0,43,-448,48,-9,-9,-68,-87
29,53,24,-41,2,39,-448,53,0,0,-58,-82
29,48,19,-39,4,34,-448,58,0,0,-58,-78
29,43,14,-36,7,29,-448,63,0,0,-58,-73
29,39,9,-34,9,24,-448,68,0,0,-58,-68
29,34,4,-31,12,19,-458,68,9,9,-48,-58
29,29,0,-29,14,14,-458,68,9,9,-48,-58
29,24,-4,-26,17,9,-458,68,9,9,-48,-58
29,19,-9,-24,19,4,-458,68,9,9,-48,-58
39,34,-4,-36,21,14,-458,68,14,14,-39,-68
39,39,0,-39,19,19,-458,68,19,19,-39,-68
39,43,4,-41,17,24,-458,68,24,24,-39,-68
39,48,9,-43,14,29,-458,68,29,29,-39,-68
34,39,4,-36,14,21,-468,78,29,19,-39,-58
29,39,9,-34,9,24,-468,78,29,19,-39,-58
24,39,14,-31,4,26,-468,78,29,19,-39,-58
19,39,19,-29,0,29,-468,78,29,19,-39,-58
29,29,0,-29,14,14,-468,87,29,29,-48,-58
29,19,-9,-24,19,4,-468,87,29,29,-48,-58
29,9,-19,-19,24,-4,-468,87,29,29,-48,-58
