I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
48,-9,-58,-19,53,-34,9,-9,-19,165,-39,-468
48,-9,-58,-19,53,-34,9,-9,-19,165,-39,-468
48,-9,-58,-19,53,-34,9,-9,-19,165,-39,-468
48,-9,-58,-19,53,-34,9,-9,-19,165,-39,-468
78,0,-78,-39,78,-39,19,0,-19,161,-43,-478
97,9,-87,-53,92,-39,19,0,-19,156,-48,-478
117,19,-97,-68,107,-39,19,0,-19,151,-53,-478
136,29,-107,-82,122,-39,19,0,-19,146,-58,-478
112,0,-112,-56,112,-56,4,-9,-39,131,-73,-488
87,-29,-117,-29,102,-73,-9,-19,-48,126,-78,-497
63,-58,-122,-2,92,-90,-24,-29,-58,122,-82,-507
39,-87,-126,24,82,-107,-39,-39,-68,117,-87,-517
34,-63,-97,14,65,-80,-29,-34,-63,122,-73,-497
29,-48,-78,9,53,-63,-29,-29,-58,126,-68,-488
24,-34,-58,4,41,-46,-29,-24,-53,131,-63,-478
19,-19,-39,0,29,-29,-29,-19,-48,136,-58,-468
43,-29,-73,-7,58,-51,-39,-34,-63,131,-68,-478
58,-39,-97,-9,78,-68,-48,-39,-68,126,-68,-478
73,-48,-122,-12,97,-85,-58,-43,-73,122,-68,-478
87,-58,-146,-14,117,-102,-68,-48,-78,117,-68,-478
48,-92,-141,21,95,-117,-73,-43,-87,112,-73,-488
19,-117,-136,48,78,-126,-78,-39,-87,107,-78,-488
-9,-141,-131,75,61,-136,-82,-34,-87,102,-82,-488
-39,-165,-126,102,43,-146,-87,-29,-87,97,-87,-488
-19,-146,-126,82,53,-136,-78,-19,-78,107,-82,-478
0,-126,-126,63,63,-126,-78,-19,-78,107,-78,-478
19,-107,-126,43,73,-117,-78,-19,-78,107,-73,-478
39,-87,-126,24,82,-107,-78,-19,-78,107,-68,-478
34,-102,-136,34,85,-119,-97,-34,-82,97,-87,-483
29,-117,-146,43,87,-131,-107,-39,-87,87,-97,-488
24,-131,-156,53,90,-143,-117,-43,-92,78,-107,-492
19,-146,-165,63,92,-156,-126,-48,-97,68,-117,-497
14,-151,-165,68,90,-158,-107,-53,-102,58,-126,-507
9,-156,-165,73,87,-161,-97,-58,-107,58,-126,-507
4,-161,-165,78,85,-163,-87,-63,-112,58,-126,-507
0,-165,-165,82,82,-165,-78,-68,-117,58,-126,-507
34,-126,-161,46,97,-143,-68,-48,-107,73,-117,-492
68,-97,-165,14,117,-131,-68,-39,-97,78,-107,-478
102,-68,-170,-17,136,-119,-68,-29,-87,82,-97,-463
136,-39,-175,-48,156,-107,-68,-19,-78,87,-87,-448
97,-68,-165,-14,131,-117,-58,-34,-87,78,-92,-453
68,-87,-156,9,112,-122,-58,-39,-87,78,-97,-458
39,-107,-146,34,92,-126,-58,-43,-87,78,-102,-463
9,-126,-136,58,73,-131,-58,-48,-87,78,-107,-468
39,-107,-146,34,92,-126,-63,-58,-92,63,-122,-468
58,-97,-156,19,107,-126,-68,-68,-97,58,-126,-468
78,-87,-165,4,122,-126,-73,-78,-102,53,-131,-468
97,-78,-175,-9,136,-126,-78,-87,-107,48,-136,-468
58,-78,-136,9,97,-107,-48,-68,-92,63,-122,-444
19,-78,-97,29,58,-87,-29,-48,-78,78,-107,-429
-19,-78,-58,48,19,-68,-9,-29,-63,92,-92,-414
-58,-78,-19,68,-19,-48,9,-9,-48,107,-78,-400
-24,-63,-39,43,7,-51,4,-14,-48,97,-87,-390
0,-48,-48,24,24,-48,0,-19,-48,97,-87,-390
24,-34,-58,4,41,-46,-4,-24,-48,97,-87,-390
48,-19,-68,-14,58,-43,-9,-29,-48,97,-87,-390
24,-34,-58,4,41,-46,0,-39,-63,82,-92,-400
9,-48,-58,19,34,-53,0,-39,-68,78,-97,-400
-4,-63,-58,34,26,-61,0,-39,-73,73,-102,-400
-19,-78,-58,48,19,-68,0,-39,-78,68,-107,-400
0,-53,-53,26,26,-53,-14,-29,-73,68,-107,-385
19,-39,-58,9,39,-48,-19,-29,-68,68,-107,-380
39,-24,-63,-7,51,-43,-24,-29,-63,68,-107,-375
58,-9,-68,-24,63,-39,-29,-29,-58,68,-107,-370
63,-29,-92,-17,78,-61,-48,-34,-68,48,-117,-385
68,-39,-107,-14,87,-73,-58,-39,-78,39,-126,-390
73,-48,-122,-12,97,-85,-68,-43,-87,29,-136,-395
78,-58,-136,-9,107,-97,-78,-48,-97,19,-146,-400
92,-48,-141,-21,117,-95,-87,-58,-97,9,-146,-395
97,-39,-136,-29,117,-87,-97,-58,-97,9,-146,-390
102,-29,-131,-36,117,-80,-107,-58,-97,9,-146,-385
107,-19,-126,-43,117,-73,-117,-58,-97,9,-146,-380
92,-39,-131,-26,112,-85,-126,-73,-122,-14,-170,-400
78,-58,-136,-9,107,-97,-136,-78,-136,-29,-185,-409
63,-78,-141,7,102,-109,-146,-82,-151,-43,-200,-419
48,-97,-146,24,97,-122,-156,-87,-165,-58,-214,-429
63,-87,-151,12,107,-119,-156,-87,-175,-63,-219,-429
78,-78,-156,0,117,-117,-156,-87,-175,-68,-224,-429
92,-68,-161,-12,126,-114,-156,-87,-175,-73,-229,-429
107,-58,-165,-24,136,-112,-156,-87,-175,-78,-234,-429
102,-63,-165,-19,134,-114,-146,-102,-185,-92,-248,-429
97,-68,-165,-14,131,-117,-146,-107,-185,-97,-253,-429
92,-73,-165,-9,129,-119,-146,-112,-185,-102,-258,-429
87,-78,-165,-4,126,-122,-146,-117,-185,-107,-263,-429
87,-82,-170,-2,129,-126,-151,-131,-204,-126,-273,-439
87,-87,-175,0,131,-131,-156,-146,-214,-136,-283,-439
87,-92,-180,2,134,-136,-161,-161,-224,-146,-292,-439
87,-97,-185,4,136,-141,-165,-175,-234,-156,-302,-439
58,-107,-165,24,112,-136,-161,-165,-244,-161,-317,-439
29,-117,-146,43,87,-131,-156,-165,-244,-165,-322,-439
0,-126,-126,63,63,-126,-151,-165,-244,-170,-326,-439
-29,-136,-107,82,39,-122,-146,-165,-244,-175,-331,-439
0,-122,-122,61,61,-122,-131,-165,-239,-161,-317,-424
19,-107,-126,43,73,-117,-126,-165,-234,-156,-312,-419
39,-92,-131,26,85,-112,-122,-165,-229,-151,-307,-414
58,-78,-136,9,97,-107,-117,-165,-224,-146,-302,-409
82,-63,-146,-9,114,-104,-117,-161,-209,-141,-297,-405
97,-58,-156,-19,126,-107,-117,-156,-204,-136,-292,-400
112,-53,-165,-29,139,-109,-117,-151,-200,-131,-287,-395
126,-48,-175,-39,151,-112,-117,-146,-195,-126,-283,-390
107,-39,-146,-34,126,-92,-112,-136,-170,-97,-258,-370
97,-39,-136,-29,117,-87,-107,-126,-156,-78,-234,-351
87,-39,-126,-24,107,-82,-102,-117,-141,-58,-209,-331
78,-39,-117,-19,97,-78,-97,-107,-126,-39,-185,-312
58,-73,-131,7,95,-102,-87,-112,-126,-39,-175,-322
39,-97,-136,29,87,-117,-87,-117,-126,-39,-175,-322
19,-122,-141,51,80,-131,-87,-122,-126,-39,-175,-322
0,-146,-146,73,73,-146,-87,-126,-126,-39,-175,-322
29,-102,-131,36,80,-117,-58,-102,-87,0,-136,-287
48,-58,-107,4,78,-82,-29,-78,-58,29,-107,-263
68,-14,-82,-26,75,-48,0,-53,-29,58,-78,-239
87,29,-58,-58,73,-14,29,-29,0,87,-48,-214
92,29,-63,-61,78,-17,29,-39,9,102,-43,-209
97,29,-68,-63,82,-19,29,-39,9,107,-39,-204
102,29,-73,-65,87,-21,29,-39,9,112,-34,-200
107,29,-78,-68,92,-24,29,-39,9,117,-29,-195
92,29,-63,-61,78,-17,34,-29,24,126,-19,-180
78,29,-48,-53,63,-9,39,-29,29,136,-9,-175
63,29,-34,-46,48,-2,43,-29,34,146,0,-170
48,29,-19,-39,34,4,48,-29,39,156,9,-165
19,4,-14,-12,17,-4,43,-43,34,141,-4,-175
0,-9,-9,4,4,-9,39,-48,29,136,-9,-175
-19,-24,-4,21,-7,-14,34,-53,24,131,-14,-175
-39,-39,0,39,-19,-19,29,-58,19,126,-19,-175
-29,-39,-9,34,-9,-24,34,-63,9,126,-19,-180
