I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
87,9,-78,-48,82,-34,-97,39,-4,34,92,112
86,5,-81,-45,83,-38,-91,42,6,42,94,124
96,13,-83,-54,89,-35,-91,52,18,57,101,135
106,27,-79,-66,92,-26,-90,66,32,74,110,144
102,38,-64,-70,83,-13,-78,81,47,86,116,146
76,42,-34,-59,55,4,-50,96,63,90,117,139
43,39,-4,-41,23,17,-19,106,72,87,112,126
16,32,16,-24,0,24,5,112,71,78,99,106
-3,24,27,-10,-15,25,18,107,63,68,82,87
-20,13,33,3,-26,23,23,89,52,57,64,72
-33,0,33,16,-33,16,23,68,39,43,48,63
-45,-15,30,30,-37,7,25,51,21,23,33,54
-57,-28,29,42,-43,0,28,39,4,4,19,43
-71,-36,35,53,-53,0,31,29,-7,-8,5,27
-81,-42,39,61,-60,-1,33,24,-13,-13,-3,14
-86,-51,35,68,-60,-8,35,24,-14,-15,-4,6
-86,-57,29,71,-57,-14,38,28,-14,-14,-3,4
-87,-58,29,72,-58,-14,43,34,-13,-13,-7,3
-87,-57,30,72,-58,-13,47,38,-14,-13,-13,3
-86,-60,26,73,-56,-17,49,39,-13,-16,-17,4
-86,-62,24,74,-55,-19,48,39,-13,-18,-18,4
-89,-64,25,76,-57,-19,44,39,-18,-21,-18,1
-91,-63,28,77,-59,-17,42,39,-23,-23,-18,0
-90,-60,30,75,-60,-15,45,36,-25,-24,-19,0
-87,-58,29,72,-58,-14,47,34,-24,-24,-19,0
-86,-57,29,71,-57,-14,48,32,-19,-21,-13,0
-86,-57,29,71,-57,-14,47,33,-14,-19,-9,0
-87,-58,29,72,-58,-14,50,40,-10,-16,-8,1
-87,-58,29,72,-58,-14,52,47,-9,-14,-9,3
-87,-57,30,72,-58,-13,53,49,-8,-13,-7,6
-87,-57,30,72,-58,-13,53,48,-8,-13,-4,8
-86,-59,27,72,-56,-16,53,45,-9,-13,-1,10
-86,-58,28,72,-57,-15,53,43,-9,-13,0,9
-89,-50,39,69,-64,-5,52,42,-8,-15,-2,5
-91,-43,48,67,-69,2,52,43,-8,-18,-8,0
-95,-39,56,67,-75,8,56,41,-11,-26,-20,-6
-101,-34,67,67,-84,16,62,42,-13,-38,-38,-18
-113,-19,94,66,-103,37,71,47,-12,-57,-64,-41
-125,0,125,62,-125,62,73,48,-13,-77,-91,-67
-135,20,155,57,-145,87,60,34,-23,-93,-112,-90
-140,52,192,44,-166,122,43,9,-38,-97,-125,-106
-142,103,245,19,-193,174,29,-22,-57,-82,-131,-117
-141,160,301,-9,-221,230,14,-57,-81,-58,-126,-121
-138,209,347,-35,-242,278,-10,-94,-115,-32,-106,-119
-131,252,383,-60,-257,317,-42,-140,-160,0,-68,-102
-115,297,412,-91,-263,354,-81,-200,-218,44,-5,-64
-92,350,442,-129,-267,396,-130,-277,-286,101,81,0
-62,412,474,-175,-268,443,-190,-364,-356,169,192,88
-24,467,491,-221,-257,479,-252,-443,-408,252,329,193
23,497,474,-260,-225,485,-307,-494,-423,358,494,310
86,511,425,-298,-169,468,-355,-521,-395,510,699,456
164,516,352,-340,-94,434,-396,-533,-323,716,943,642
238,483,245,-360,-3,364,-418,-522,-220,929,1169,827
290,386,96,-338,97,241,-414,-482,-104,1106,1324,968
330,235,-95,-282,212,70,-390,-439,-14,1266,1442,1091
372,52,-320,-212,346,-134,-357,-416,14,1434,1567,1228
418,-138,-556,-140,487,-347,-331,-409,-13,1593,1696,1369
463,-320,-783,-71,623,-551,-320,-402,-81,1711,1815,1494
501,-499,-1000,-1,750,-749,-307,-370,-155,1747,1897,1594
525,-686,-1211,80,868,-948,-273,-297,-220,1651,1911,1661
535,-870,-1405,167,970,-1137,-234,-224,-358,1365,1821,1683
535,-1041,-1576,253,1055,-1308,-205,-197,-643,854,1603,1649
517,-1183,-1700,333,1108,-1441,-180,-208,-1005,193,1287,1562
476,-1286,-1762,405,1119,-1524,-147,-235,-1347,-509,915,1425
414,-1350,-1764,468,1089,-1557,-107,-262,-1617,-1138,512,1227
340,-1379,-1719,519,1029,-1549,-64,-277,-1780,-1596,106,965
268,-1371,-1639,551,953,-1505,-34,-282,-1830,-1856,-240,705
212,-1329,-1541,558,876,-1435,-27,-283,-1771,-1925,-471,507
170,-1288,-1458,559,814,-1373,-24,-273,-1645,-1865,-598,367
135,-1275,-1410,570,772,-1342,-7,-245,-1496,-1745,-649,264
102,-1244,-1346,571,724,-1295,4,-219,-1344,-1602,-658,181
67,-1150,-1217,541,642,-1183,-7,-209,-1199,-1456,-654,99
24,-1016,-1040,496,532,-1028,-23,-204,-1046,-1300,-649,5
-28,-883,-855,455,413,-869,-21,-187,-871,-1124,-642,-106
-72,-757,-685,414,306,-721,0,-165,-699,-938,-610,-189
-91,-640,-549,365,229,-594,31,-145,-555,-761,-536,-203
-96,-537,-441,316,172,-489,62,-131,-440,-607,-445,-180
-102,-453,-351,277,124,-402,80,-121,-345,-487,-367,-161
-106,-381,-275,243,84,-328,86,-102,-264,-391,-302,-146
-106,-313,-207,209,50,-260,89,-64,-191,-306,-244,-124
-106,-253,-147,179,20,-200,91,-14,-118,-230,-195,-102
-111,-206,-95,158,-8,-150,98,34,-40,-164,-159,-87
-116,-170,-54,143,-31,-112,106,77,28,-107,-131,-78
-118,-141,-23,129,-47,-82,112,107,72,-57,-104,-69
-117,-117,0,117,-58,-58,116,121,96,-19,-82,-63
-114,-93,21,103,-67,-36,120,120,107,2,-70,-59
-112,-73,39,92,-75,-17,121,112,111,13,-63,-58
-111,-57,54,84,-82,-1,122,106,115,21,-55,-58
-112,-48,64,80,-88,8,122,111,125,28,-48,-58
-110,-44,66,77,-88,11,122,131,145,38,-42,-55
-107,-43,64,75,-85,10,122,150,164,47,-39,-53
-104,-42,62,73,-83,10,121,155,170,53,-37,-52
-102,-42,60,72,-81,9,121,151,170,57,-34,-53
-101,-43,58,72,-79,7,123,145,171,63,-26,-51
-101,-43,58,72,-79,7,125,141,174,67,-19,-48
-102,-38,64,70,-83,13,126,138,176,70,-15,-45
-101,-34,67,67,-84,16,126,140,179,72,-14,-43
-102,-33,69,67,-85,18,123,148,186,75,-11,-40
-102,-33,69,67,-85,18,122,155,194,77,-9,-39
-100,-34,66,67,-83,16,121,158,201,80,-8,-38
-97,-34,63,65,-80,14,121,156,203,81,-8,-38
-94,-32,62,63,-78,15,122,151,202,84,-11,-39
-92,-29,63,60,-77,17,122,146,200,86,-13,-39
-91,-21,70,56,-80,24,118,142,201,89,-14,-38
-91,-14,77,52,-84,31,116,141,203,91,-14,-38
-91,-11,80,51,-85,34,119,142,206,91,-11,-39
-91,-13,78,52,-84,32,121,145,208,91,-9,-39
-92,-20,72,56,-82,26,121,151,211,94,-8,-38
-92,-24,68,58,-80,22,117,155,213,96,-8,-38
-89,-19,70,54,-79,25,111,154,214,97,-9,-42
-87,-14,73,50,-80,29,107,151,214,97,-9,-47
-86,-13,73,49,-79,30,106,147,213,94,-8,-51
-86,-14,72,50,-79,29,106,146,213,92,-8,-52
-87,-12,75,49,-81,31,106,146,218,90,-13,-52
-87,-9,78,48,-82,34,106,146,223,91,-18,-52
-86,-6,80,46,-83,37,109,144,227,95,-22,-55
-86,-4,82,45,-84,39,111,145,228,97,-23,-57
-87,-1,86,44,-86,42,112,155,230,95,-24,-56
-87,0,87,43,-87,43,112,164,233,92,-24,-53
-84,0,84,42,-84,42,111,165,238,91,-21,-52
-82,0,82,41,-82,41,111,161,243,91,-19,-52
-81,4,85,38,-83,44,112,159,246,92,-18,-52
-81,8,89,36,-85,48,112,160,247,92,-19,-52
-81,9,90,36,-85,49,109,162,249,90,-18,-55
-81,9,90,36,-85,49,107,164,252,91,-18,-57
-83,8,91,37,-87,49,106,167,259,96,-21,-60
-86,8,94,39,-90,51,107,169,267,101,-23,-62
-89,9,98,40,-93,53,104,169,273,102,-24,-65
-91,13,104,39,-97,58,102,169,277,101,-23,-67
-92,21,113,35,-102,67,101,174,282,103,-25,-67
-92,28,120,32,-106,74,101,179,286,106,-28,-67
-91,30,121,30,-106,75,101,183,288,109,-31,-71
-91,29,120,31,-105,74,101,185,291,111,-33,-73
-91,29,120,31,-105,74,103,184,301,114,-34,-70
-91,29,120,31,-105,74,106,184,311,116,-34,-67
-92,26,118,33,-105,72,109,189,319,121,-33,-72
-92,24,116,34,-104,70,111,194,325,125,-33,-77
-90,25,115,32,-102,70,112,198,335,129,-35,-78
-91,28,119,31,-105,73,112,199,345,130,-38,-77
-97,31,128,33,-112,79,111,201,354,131,-44,-80
-101,33,134,34,-117,83,111,203,360,131,-47,-86
-98,37,135,30,-116,86,111,208,367,130,-47,-93
-92,42,134,25,-113,88,111,213,374,130,-47,-96
-89,48,137,20,-113,92,112,219,384,133,-55,-96
-87,52,139,17,-113,95,112,223,394,135,-62,-96
-82,55,137,13,-109,96,111,225,401,138,-64,-102
-78,57,135,10,-106,96,111,228,408,140,-63,-111
-77,62,139,7,-108,100,116,237,420,142,-64,-119
-81,67,148,7,-114,107,121,247,433,145,-67,-125
-90,73,163,8,-126,118,123,254,446,151,-71,-133
-101,77,178,12,-139,127,122,257,457,155,-77,-140
-111,80,191,15,-151,135,121,258,468,157,-89,-147
-116,86,202,15,-159,144,121,258,477,156,-101,-155
-113,99,212,7,-162,155,124,257,484,153,-108,-165
-107,111,218,-2,-162,164,125,257,491,151,-116,-174
-102,118,220,-8,-161,169,125,260,502,149,-129,-180
-101,121,222,-10,-161,171,125,262,511,146,-140,-184
-106,128,234,-11,-170,181,128,261,515,140,-141,-190
-111,135,246,-12,-178,190,130,258,516,136,-136,-194
-115,142,257,-13,-186,199,132,254,519,134,-133,-196
-116,150,266,-17,-191,208,131,252,521,135,-135,-199
-117,160,277,-21,-197,218,127,254,522,138,-141,-206
-117,169,286,-26,-201,227,122,253,521,140,-145,-213
-116,175,291,-29,-203,233,114,244,523,141,-147,-216
-116,179,295,-31,-205,237,107,234,522,141,-146,-214
-117,187,304,-35,-210,245,104,227,516,140,-144,-209
-117,194,311,-38,-214,252,102,219,507,140,-141,-204
-112,199,311,-43,-211,255,95,205,498,142,-136,-199
-107,203,310,-48,-208,256,87,190,488,145,-131,-195
-104,208,312,-52,-208,260,80,181,474,148,-126,-192
-102,213,315,-55,-208,264,73,175,458,150,-122,-190
