I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-9,-48,-39,29,14,-43,68,146,117,39,9,-9
-9,-48,-39,29,14,-43,68,146,117,39,9,-9
-9,-48,-39,29,14,-43,68,146,117,39,9,-9
-9,-48,-39,29,14,-43,68,146,117,39,9,-9
0,-53,-53,26,26,-53,68,151,131,53,14,0
0,-58,-58,29,29,-58,68,156,136,58,19,0
0,-63,-63,31,31,-63,68,161,141,63,24,0
0,-68,-68,34,34,-68,68,165,146,68,29,0
4,-58,-63,26,34,-61,63,170,161,82,43,14
9,-48,-58,19,34,-53,58,175,165,87,48,19
14,-39,-53,12,34,-46,53,180,170,92,53,24
19,-29,-48,4,34,-39,48,185,175,97,58,29
19,-24,-43,2,31,-34,58,190,190,107,73,39
19,-19,-39,0,29,-29,58,195,195,117,78,48
19,-14,-34,-2,26,-24,58,200,200,126,82,58
19,-9,-29,-4,24,-19,58,204,204,136,87,68
24,-4,-29,-9,26,-17,53,214,214,151,102,73
29,0,-29,-14,29,-14,48,214,224,156,107,78
34,4,-29,-19,31,-12,43,214,234,161,112,82
39,9,-29,-24,34,-9,39,214,244,165,117,87
43,24,-19,-34,31,2,29,229,263,180,126,97
48,29,-19,-39,34,4,29,234,273,195,136,107
53,34,-19,-43,36,7,29,239,283,209,146,117
58,39,-19,-48,39,9,29,244,292,224,156,126
48,48,0,-48,24,24,19,244,312,239,170,136
48,58,9,-53,19,34,19,244,322,253,185,146
48,68,19,-58,14,43,19,244,331,268,200,156
48,78,29,-63,9,53,19,244,341,283,214,165
58,87,29,-73,14,58,4,253,351,302,234,185
68,97,29,-82,19,63,0,253,361,312,244,195
78,107,29,-92,24,68,-4,253,370,322,253,204
87,117,29,-102,29,73,-9,253,380,331,263,214
78,122,43,-100,17,82,0,258,390,356,278,229
78,126,48,-102,14,87,0,263,400,370,292,234
78,131,53,-104,12,92,0,268,409,385,307,239
78,136,58,-107,9,97,0,273,419,400,322,244
92,151,58,-122,17,104,-4,268,429,405,326,253
97,165,68,-131,14,117,-9,263,429,409,331,263
102,180,78,-141,12,129,-14,258,429,414,336,273
107,195,87,-151,9,141,-19,253,429,419,341,283
107,195,87,-151,9,141,-24,248,439,424,356,283
107,195,87,-151,9,141,-29,244,439,429,361,283
107,195,87,-151,9,141,-34,239,439,434,366,283
107,195,87,-151,9,141,-39,234,439,439,370,283
117,209,92,-163,12,151,-43,224,429,439,361,287
117,224,107,-170,4,165,-48,224,429,439,361,292
117,239,122,-178,-2,180,-53,224,429,439,361,297
117,253,136,-185,-9,195,-58,224,429,439,361,302
112,244,131,-178,-9,187,-43,224,429,444,370,317
107,234,126,-170,-9,180,-39,224,429,448,380,322
102,224,122,-163,-9,173,-34,224,429,453,390,326
97,214,117,-156,-9,165,-29,224,429,458,400,331
97,214,117,-156,-9,165,-34,214,409,439,380,317
97,214,117,-156,-9,165,-39,204,400,429,370,312
97,214,117,-156,-9,165,-43,195,390,419,361,307
97,214,117,-156,-9,165,-48,185,380,409,351,302
82,209,126,-146,-21,168,-39,175,366,395,336,278
78,204,126,-141,-24,165,-39,175,351,380,322,263
73,200,126,-136,-26,163,-39,175,336,366,307,248
68,195,126,-131,-29,161,-39,175,322,351,292,234
53,170,117,-112,-31,143,-24,161,307,331,278,224
48,156,107,-102,-29,131,-19,156,292,312,263,214
43,141,97,-92,-26,119,-14,151,278,292,248,204
39,126,87,-82,-24,107,-9,146,263,273,234,195
39,117,78,-78,-19,97,-9,131,239,253,214,170
39,117,78,-78,-19,97,-9,126,224,234,195,156
39,117,78,-78,-19,97,-9,122,209,214,175,141
39,117,78,-78,-19,97,-9,117,195,195,156,126
24,102,78,-63,-26,90,0,107,170,165,136,102
19,87,68,-53,-24,78,0,97,156,146,117,87
14,73,58,-43,-21,65,0,87,141,126,97,73
9,58,48,-34,-19,53,0,78,126,107,78,58
9,48,39,-29,-14,43,4,73,117,97,63,53
9,39,29,-24,-9,34,9,68,107,87,58,48
9,29,19,-19,-4,24,14,63,97,78,53,43
9,19,9,-14,0,14,19,58,87,68,48,39
0,14,14,-7,-7,14,9,43,73,53,29,19
0,9,9,-4,-4,9,9,39,58,39,19,9
0,4,4,-2,-2,4,9,34,43,24,9,0
0,0,0,0,0,0,9,29,29,9,0,-9
-4,-4,0,4,-2,-2,19,19,14,-4,-4,-9
-9,-9,0,9,-4,-4,19,19,9,-9,-9,-9
-14,-14,0,14,-7,-7,19,19,4,-14,-14,-9
-19,-19,0,19,-9,-9,19,19,0,-19,-19,-9
-24,-39,-14,31,-4,-26,29,9,-14,-34,-34,-29
-29,-48,-19,39,-4,-34,29,9,-19,-39,-39,-39
-34,-58,-24,46,-4,-41,29,9,-24,-43,-43,-48
-39,-68,-29,53,-4,-48,29,9,-29,-48,-48,-58
-24,-68,-43,46,9,-56,19,4,-39,-58,-53,-68
-19,-68,-48,43,14,-58,19,0,-39,-58,-58,-68
-14,-68,-53,41,19,-61,19,-4,-39,-58,-63,-68
-9,-68,-58,39,24,-63,19,-9,-39,-58,-68,-68
-14,-58,-43,36,14,-51,29,0,-39,-68,-78,-73
-19,-58,-39,39,9,-48,29,0,-39,-68,-78,-78
-24,-58,-34,41,4,-46,29,0,-39,-68,-78,-82
-29,-58,-29,43,0,-43,29,0,-39,-68,-78,-87
-19,-48,-29,34,4,-39,29,-9,-48,-58,-68,-73
-19,-48,-29,34,4,-39,29,-9,-48,-58,-68,-58
