I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-78,-87,-9,82,-34,-48,-39,283,195,78,-68,-78
-78,-87,-9,82,-34,-48,-39,283,195,78,-68,-78
-78,-87,-9,82,-34,-48,-39,283,195,78,-68,-78
-78,-87,-9,82,-34,-48,-39,283,195,78,-68,-78
-78,-78,0,78,-39,-39,-29,307,219,92,-58,-68
-78,-78,0,78,-39,-39,-19,322,234,107,-58,-68
-78,-78,0,78,-39,-39,-9,336,248,122,-58,-68
-78,-78,0,78,-39,-39,0,351,263,136,-58,-68
-87,-87,0,87,-43,-43,9,361,283,146,-58,-68
-87,-87,0,87,-43,-43,9,370,292,156,-58,-68
-87,-87,0,87,-43,-43,9,380,302,165,-58,-68
-87,-87,0,87,-43,-43,9,390,312,175,-58,-68
-78,-97,-19,87,-29,-58,0,400,312,180,-58,-68
-78,-97,-19,87,-29,-58,0,400,312,185,-58,-68
-78,-97,-19,87,-29,-58,0,400,312,190,-58,-68
-78,-97,-19,87,-29,-58,0,400,312,195,-58,-68
-68,-97,-29,82,-19,-63,0,405,322,200,-48,-68
-68,-97,-29,82,-19,-63,0,409,322,204,-48,-68
-68,-97,-29,82,-19,-63,0,414,322,209,-48,-68
-68,-97,-29,82,-19,-63,0,419,322,214,-48,-68
-68,-97,-29,82,-19,-63,9,419,331,224,-48,-68
-68,-97,-29,82,-19,-63,9,419,331,224,-48,-68
-68,-97,-29,82,-19,-63,9,419,331,224,-48,-68
-68,-97,-29,82,-19,-63,9,419,331,224,-48,-68
-78,-97,-19,87,-29,-58,0,429,331,234,-39,-78
-78,-97,-19,87,-29,-58,0,429,331,234,-39,-78
-78,-97,-19,87,-29,-58,0,429,331,234,-39,-78
-78,-97,-19,87,-29,-58,0,429,331,234,-39,-78
-78,-97,-19,87,-29,-58,9,434,336,244,-39,-78
-78,-97,-19,87,-29,-58,9,439,341,244,-39,-78
-78,-97,-19,87,-29,-58,9,444,346,244,-39,-78
-78,-97,-19,87,-29,-58,9,448,351,244,-39,-78
-68,-107,-39,87,-14,-73,9,458,351,253,-39,-87
-68,-107,-39,87,-14,-73,9,458,351,253,-39,-87
-68,-107,-39,87,-14,-73,9,458,351,253,-39,-87
-68,-107,-39,87,-14,-73,9,458,351,253,-39,-87
-68,-97,-29,82,-19,-63,19,463,361,268,-29,-97
-68,-97,-29,82,-19,-63,19,468,370,273,-29,-97
-68,-97,-29,82,-19,-63,19,473,380,278,-29,-97
-68,-97,-29,82,-19,-63,19,478,390,283,-29,-97
-78,-97,-19,87,-29,-58,19,488,405,287,-29,-97
-78,-97,-19,87,-29,-58,19,488,409,292,-29,-97
-78,-97,-19,87,-29,-58,19,488,414,297,-29,-97
-78,-97,-19,87,-29,-58,19,488,419,302,-29,-97
-68,-97,-29,82,-19,-63,29,497,434,317,-39,-107
-68,-97,-29,82,-19,-63,29,497,439,322,-39,-107
-68,-97,-29,82,-19,-63,29,497,444,326,-39,-107
-68,-97,-29,82,-19,-63,29,497,448,331,-39,-107
-78,-107,-29,92,-24,-68,39,502,468,341,-34,-107
-78,-107,-29,92,-24,-68,39,507,478,351,-29,-107
-78,-107,-29,92,-24,-68,39,512,488,361,-24,-107
-78,-107,-29,92,-24,-68,39,517,497,370,-19,-107
-68,-107,-39,87,-14,-73,48,527,512,390,-19,-112
-68,-107,-39,87,-14,-73,48,536,527,400,-19,-117
-68,-107,-39,87,-14,-73,48,546,541,409,-19,-122
-68,-107,-39,87,-14,-73,48,556,556,419,-19,-126
-68,-97,-29,82,-19,-63,39,561,570,439,-29,-141
-68,-97,-29,82,-19,-63,39,566,585,448,-29,-146
-68,-97,-29,82,-19,-63,39,570,600,458,-29,-151
-68,-97,-29,82,-19,-63,39,575,614,468,-29,-156
-78,-107,-29,92,-24,-68,39,590,639,488,-19,-170
-78,-107,-29,92,-24,-68,39,605,663,507,-19,-175
-78,-107,-29,92,-24,-68,39,619,688,527,-19,-180
-78,-107,-29,92,-24,-68,39,634,712,546,-19,-185
-68,-97,-29,82,-19,-63,39,658,751,575,-9,-200
-68,-97,-29,82,-19,-63,39,673,780,595,-9,-204
-68,-97,-29,82,-19,-63,39,688,810,614,-9,-209
-68,-97,-29,82,-19,-63,39,702,839,634,-9,-214
-78,-87,-9,82,-34,-48,43,722,878,663,-4,-234
-78,-87,-9,82,-34,-48,48,741,907,683,0,-244
-78,-87,-9,82,-34,-48,53,761,936,702,4,-253
-78,-87,-9,82,-34,-48,58,780,966,722,9,-263
-82,-97,-14,90,-34,-56,68,810,1000,751,9,-273
-87,-97,-9,92,-39,-53,68,829,1034,780,9,-283
-92,-97,-4,95,-43,-51,68,849,1068,810,9,-292
-97,-97,0,97,-48,-48,68,868,1102,839,9,-302
-97,-82,14,90,-56,-34,73,893,1137,858,9,-312
-97,-78,19,87,-58,-29,78,907,1161,878,9,-322
-97,-73,24,85,-61,-24,82,922,1185,897,9,-331
-97,-68,29,82,-63,-19,87,936,1210,917,9,-341
-102,-58,43,80,-73,-7,102,956,1224,932,19,-351
-107,-58,48,82,-78,-4,107,966,1239,946,19,-361
-112,-58,53,85,-82,-2,112,976,1254,961,19,-370
-117,-58,58,87,-87,0,117,985,1268,976,19,-380
-117,-53,63,85,-90,4,117,985,1263,971,9,-395
-117,-48,68,82,-92,9,117,985,1259,966,9,-400
-117,-43,73,80,-95,14,117,985,1254,961,9,-405
-117,-39,78,78,-97,19,117,985,1249,956,9,-409
-117,-39,78,78,-97,19,117,976,1220,946,0,-400
-117,-39,78,78,-97,19,117,966,1200,936,0,-400
-117,-39,78,78,-97,19,117,956,1180,927,0,-400
-117,-39,78,78,-97,19,117,946,1161,917,0,-400
-112,-29,82,70,-97,26,112,922,1117,893,-9,-385
-107,-29,78,68,-92,24,107,907,1083,868,-9,-370
-102,-29,73,65,-87,21,102,893,1049,844,-9,-356
-97,-29,68,63,-82,19,97,878,1015,819,-9,-341
-97,-29,68,63,-82,19,87,854,966,785,0,-317
-97,-29,68,63,-82,19,87,829,927,751,0,-302
-97,-29,68,63,-82,19,87,805,888,717,0,-287
-97,-29,68,63,-82,19,87,780,849,683,0,-273
-87,-19,68,53,-78,24,82,746,790,639,9,-239
-87,-19,68,53,-78,24,78,722,741,605,9,-214
-87,-19,68,53,-78,24,73,697,692,570,9,-190
-87,-19,68,53,-78,24,68,673,644,536,9,-165
-73,-24,48,48,-61,12,53,634,590,497,9,-146
-68,-29,39,48,-53,4,48,605,546,458,9,-126
-63,-34,29,48,-46,-2,43,575,502,419,9,-107
-58,-39,19,48,-39,-9,39,546,458,380,9,-87
-53,-48,4,51,-29,-21,34,522,414,341,9,-63
-48,-48,0,48,-24,-24,29,497,380,312,9,-48
-43,-48,-4,46,-19,-26,24,473,346,283,9,-34
-39,-48,-9,43,-14,-29,19,448,312,253,9,-19
-48,-53,-4,51,-21,-29,14,424,287,234,9,-9
-48,-58,-9,53,-19,-34,9,409,263,214,9,0
-48,-63,-14,56,-17,-39,4,395,239,195,9,9
-48,-68,-19,58,-14,-43,0,380,214,175,9,19
-43,-78,-34,61,-4,-56,-4,370,195,161,9,34
-39,-78,-39,58,0,-58,-9,361,175,146,9,39
-34,-78,-43,56,4,-61,-14,351,156,131,9,43
-29,-78,-48,53,9,-63,-19,341,136,117,9,48
-29,-87,-58,58,14,-73,-29,326,122,107,0,58
-29,-87,-58,58,14,-73,-29,322,117,97,0,58
-29,-87,-58,58,14,-73,-29,317,112,87,0,58
-29,-87,-58,58,14,-73,-29,312,107,78,0,58
-29,-97,-68,63,19,-82,-29,297,92,63,0,58
-29,-97,-68,63,19,-82,-29,292,87,58,0,58
-29,-97,-68,63,19,-82,-29,287,82,53,0,58
-29,-97,-68,63,19,-82,-29,283,78,48,0,58
-29,-97,-68,63,19,-82,-39,273,68,39,-9,68
-29,-97,-68,63,19,-82,-39,273,68,39,-9,68
-29,-97,-68,63,19,-82,-39,273,68,39,-9,68
-29,-97,-68,63,19,-82,-39,273,68,39,-9,68
-19,-97,-78,58,29,-87,-39,263,58,29,-9,63
-19,-97,-78,58,29,-87,-39,263,58,29,-9,58
-19,-97,-78,58,29,-87,-39,263,58,29,-9,53
-19,-97,-78,58,29,-87,-39,263,58,29,-9,48
-29,-97,-68,63,19,-82,-39,263,58,29,0,58
-29,-97,-68,63,19,-82,-39,263,58,29,0,58
-29,-97,-68,63,19,-82,-39,263,58,29,0,58
-29,-97,-68,63,19,-82,-39,263,58,29,0,58
-29,-97,-68,63,19,-82,-29,253,68,29,0,58
-29,-97,-68,63,19,-82,-29,253,68,29,0,58
-29,-97,-68,63,19,-82,-29,253,68,29,0,58
-29,-97,-68,63,19,-82,-29,253,68,29,0,58
-29,-102,-73,65,21,-87,-29,244,68,29,-9,48
-29,-107,-78,68,24,-92,-29,244,68,29,-9,48
-29,-112,-82,70,26,-97,-29,244,68,29,-9,48
-29,-117,-87,73,29,-102,-29,244,68,29,-9,48
-29,-107,-78,68,24,-92,-19,244,78,29,0,48
-29,-107,-78,68,24,-92,-19,244,78,29,0,48
-29,-107,-78,68,24,-92,-19,244,78,29,0,48
-29,-107,-78,68,24,-92,-19,244,78,29,0,48
-29,-107,-78,68,24,-92,-9,244,87,39,0,48
-29,-107,-78,68,24,-92,-9,244,87,39,0,48
-29,-107,-78,68,24,-92,-9,244,87,39,0,48
-29,-107,-78,68,24,-92,-9,244,87,39,0,48
-39,-97,-58,68,9,-78,-9,234,97,48,9,39
-39,-97,-58,68,9,-78,-9,234,97,48,9,39
-39,-97,-58,68,9,-78,-9,234,97,48,9,39
-39,-97,-58,68,9,-78,-9,234,97,48,9,39
-29,-92,-63,61,17,-78,0,234,102,53,19,48
-29,-87,-58,58,14,-73,0,234,107,58,19,48
-29,-82,-53,56,12,-68,0,234,112,63,19,48
-29,-78,-48,53,9,-63,0,234,117,68,19,48
-29,-73,-43,51,7,-58,9,244,122,78,24,58
-29,-68,-39,48,4,-53,9,244,126,78,29,58
-29,-63,-34,46,2,-48,9,244,131,78,34,58
-29,-58,-29,43,0,-43,9,244,136,78,39,58
-29,-48,-19,39,-4,-34,19,244,146,87,39,58
-29,-48,-19,39,-4,-34,29,244,146,87,39,58
-29,-48,-19,39,-4,-34,39,244,146,87,39,58
-29,-48,-19,39,-4,-34,48,244,146,87,39,58
-29,-43,-14,36,-7,-29,58,244,146,87,48,58
-34,-43,-9,39,-12,-26,58,239,146,87,48,63
-39,-29,9,34,-24,-9,63,234,156,92,53,63
-39,-24,14,31,-26,-4,63,234,156,92,63,68
-29,-19,9,24,-19,-4,73,234,165,97,63,58
-24,-9,14,17,-19,2,63,229,165,97,68,68
-24,4,29,9,-26,17,48,229,165,102,68,68
-24,4,29,9,-26,17,39,229,165,102,73,73
-14,19,34,-2,-24,26,19,214,165,112,73,78
-9,19,29,-4,-19,24,9,209,161,117,73,82
-4,19,24,-7,-14,21,-14,204,156,117,73,82
-4,19,24,-7,-14,21,-43,190,136,107,68,82
-9,19,29,-4,-19,24,-78,180,136,92,63,82
-14,4,19,4,-17,12,-92,165,117,87,58,82
-9,-9,0,9,-4,-4,-117,161,102,73,53,82
-14,-14,0,14,-7,-7,-131,151,102,63,53,82
-4,-24,-19,14,7,-21,-141,146,87,63,43,92
-4,-29,-24,17,9,-26,-141,141,82,63,39,92
0,-29,-29,14,14,-29,-136,136,73,63,39,92
4,-19,-24,7,14,-21,-136,136,68,63,39,97
0,-4,-4,2,2,-4,-131,141,78,73,48,117
9,9,0,-9,4,4,-126,151,78,78,58,122
14,9,-4,-12,9,2,-122,151,78,82,63,131
19,4,-14,-12,17,-4,-112,156,82,87,68,136
19,-4,-24,-7,21,-14,-112,161,82,97,78,141
24,-9,-34,-7,29,-21,-112,161,82,97,78,141
24,-14,-39,-4,31,-26,-107,165,73,87,73,141
24,-24,-48,0,36,-36,-102,170,73,87,73,141
29,-24,-53,-2,41,-39,-97,175,63,78,73,131
24,-29,-53,2,39,-41,-92,175,63,78,73,131
24,-39,-63,7,43,-51,-82,170,63,78,73,131
19,-39,-58,9,39,-48,-68,170,63,78,68,131
19,-39,-58,9,39,-48,-58,165,58,63,58,126
19,-39,-58,9,39,-48,-48,165,58,53,58,126
14,-48,-63,17,39,-56,-43,170,58,53,53,117
9,-58,-68,24,39,-63,-34,175,58,53,53,112
-14,-78,-63,46,24,-70,-24,190,68,63,63,117
-24,-97,-73,61,24,-85,-14,195,68,58,53,107
-29,-107,-78,68,24,-92,0,200,68,53,39,97
-29,-122,-92,75,31,-107,9,200,58,48,29,78
-43,-117,-73,80,14,-95,14,200,58,39,14,63
-43,-117,-73,80,14,-95,19,209,58,39,4,58
-48,-122,-73,85,12,-97,24,209,58,34,0,58
-53,-122,-68,87,7,-95,24,209,58,29,-4,58
-53,-136,-82,95,14,-109,14,204,39,29,0,68
-48,-136,-87,92,19,-112,9,200,29,24,-4,58
-48,-146,-97,97,24,-122,9,195,24,19,-4,53
-53,-151,-97,102,21,-124,4,195,19,14,-9,48
-53,-151,-97,102,21,-124,14,195,9,4,-24,34
-53,-146,-92,100,19,-119,19,195,9,4,-29,34
-53,-146,-92,100,19,-119,19,195,9,4,-29,34
-53,-146,-92,100,19,-119,19,195,4,4,-34,34
-53,-136,-82,95,14,-109,19,200,14,4,-34,29
-53,-136,-82,95,14,-109,24,200,19,4,-29,29
-53,-136,-82,95,14,-109,24,204,19,4,-29,29
-53,-136,-82,95,14,-109,24,204,24,4,-29,29
-58,-136,-78,97,9,-107,19,209,24,14,-29,39
-58,-136,-78,97,9,-107,19,209,24,14,-29,39
-58,-136,-78,97,9,-107,19,209,29,9,-29,39
-58,-141,-82,100,12,-112,19,214,29,9,-29,39
-58,-141,-82,100,12,-112,19,219,34,0,-29,24
-58,-141,-82,100,12,-112,19,219,34,0,-29,24
-58,-141,-82,100,12,-112,24,219,34,0,-24,29
-58,-141,-82,100,12,-112,24,224,34,0,-24,29
-58,-141,-82,100,12,-112,24,214,43,9,-24,24
-53,-141,-87,97,17,-114,24,214,43,4,-24,24
-53,-141,-87,97,17,-114,24,214,43,4,-19,19
-58,-141,-82,100,12,-112,24,214,43,4,-19,19
-58,-141,-82,100,12,-112,19,214,53,-4,-29,19
-48,-141,-92,95,21,-117,29,214,53,-4,-29,29
-39,-141,-102,90,31,-122,39,229,58,4,-19,29
-39,-141,-102,90,31,-122,43,244,73,4,-24,19
-53,-146,-92,100,19,-119,43,258,82,4,-24,19
-63,-146,-82,104,9,-114,43,268,92,9,-24,29
-53,-136,-82,95,14,-109,43,258,102,19,-14,29
-43,-141,-97,92,26,-119,48,268,136,34,-14,29
-53,-141,-87,97,17,-114,68,312,214,68,-4,29
-53,-136,-82,95,14,-109,78,366,302,107,0,29
-39,-136,-97,87,29,-117,92,385,385,161,9,24
-48,-126,-78,87,14,-102,141,424,473,219,19,9
-58,-117,-58,87,0,-87,204,473,580,283,19,-4
-58,-126,-68,92,4,-97,283,473,605,312,4,-29
-58,-131,-73,95,7,-102,331,366,463,273,-39,-63
-48,-126,-78,87,14,-102,361,224,209,209,-73,-87
-39,-136,-97,87,29,-117,370,87,-73,131,-107,-87
