I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-19,-39,-20,29,0,-29,9,185,312,-107,0,0
-18,-39,-21,28,1,-30,9,193,323,-106,0,0
-18,-39,-21,28,1,-30,9,199,330,-106,0,0
-19,-38,-19,28,0,-28,8,205,339,-107,0,0
-19,-38,-19,28,0,-28,8,213,350,-107,0,0
-18,-39,-21,28,1,-30,9,225,369,-106,0,0
-18,-39,-21,28,1,-30,9,238,389,-106,0,0
-19,-38,-19,28,0,-28,7,250,409,-107,0,0
-19,-38,-19,28,0,-28,8,262,428,-107,0,0
-18,-42,-24,30,3,-33,15,276,448,-102,0,0
-18,-47,-29,32,5,-38,23,291,467,-97,0,0
-19,-53,-34,36,7,-43,31,307,487,-93,0,0
-19,-57,-38,38,9,-47,38,321,506,-87,0,0
-18,-60,-42,39,12,-51,47,334,526,-74,0,0
-18,-62,-44,40,13,-53,57,345,545,-58,0,0
-19,-65,-46,42,13,-55,68,358,566,-43,0,0
-19,-67,-48,43,14,-57,77,369,584,-29,0,0
-18,-68,-50,43,16,-59,85,380,598,-13,0,0
-18,-67,-49,42,15,-58,91,389,609,3,0,0
-19,-69,-50,44,15,-59,99,400,623,21,0,0
-19,-68,-49,43,15,-58,106,408,633,38,0,0
-16,-61,-45,38,14,-53,112,412,635,54,0,0
-14,-53,-39,33,12,-46,116,413,634,67,0,0
-11,-45,-34,28,11,-39,121,416,634,81,0,0
-9,-39,-30,24,10,-34,125,418,634,96,0,0
-6,-32,-26,19,10,-29,128,419,627,116,0,0
-4,-24,-20,14,8,-22,130,418,619,135,0,0
-2,-15,-13,8,5,-14,133,419,612,154,0,0
0,-9,-9,4,4,-9,135,419,605,174,0,0
2,-7,-9,2,5,-8,136,415,594,200,0,0
4,-8,-12,2,8,-10,136,409,580,218,0,0
2,-8,-10,3,6,-9,135,399,563,221,0,0
0,-8,-8,4,4,-8,135,390,546,214,0,0
0,-11,-11,5,5,-11,138,380,530,207,0,0
0,-13,-13,6,6,-13,140,370,517,213,0,0
0,-14,-14,7,7,-14,141,356,503,236,0,0
0,-14,-14,7,7,-14,141,341,478,252,0,0
1,-11,-12,5,6,-11,138,326,434,243,0,-1
3,-9,-12,3,7,-10,136,312,385,219,0,-3
4,-6,-10,1,7,-8,133,296,346,196,0,-4
4,-4,-8,0,6,-6,131,283,326,175,0,-4
3,-3,-6,0,4,-4,130,274,324,154,0,-3
3,-3,-6,0,4,-4,130,268,322,136,0,-3
3,-4,-7,0,5,-5,131,259,302,122,0,-4
3,-3,-6,0,4,-4,130,248,273,107,0,-4
4,-4,-8,0,6,-6,131,232,246,85,0,-3
4,-4,-8,0,6,-6,131,219,229,63,0,-3
2,-3,-5,0,3,-4,130,211,221,45,0,-4
0,-3,-3,1,1,-3,130,209,214,34,0,-4
-1,-6,-5,3,2,-5,133,209,196,29,0,-3
-3,-8,-5,5,1,-6,135,209,175,24,0,-3
-6,-8,-2,7,-2,-5,135,204,161,13,0,-4
-8,-8,0,8,-4,-4,135,195,156,0,0,-4
-9,-13,-4,11,-2,-8,142,183,157,-9,0,-3
-9,-18,-9,13,0,-13,150,175,160,-18,0,-3
-9,-21,-12,15,1,-16,156,175,161,-29,0,-4
-9,-23,-14,16,2,-18,156,175,156,-34,0,-4
-8,-27,-19,17,5,-23,149,166,142,-28,0,-3
-8,-28,-20,18,6,-24,141,151,126,-23,0,-3
-11,-27,-16,19,2,-21,135,135,114,-29,0,-4
-13,-24,-11,18,-1,-17,126,122,107,-38,0,-4
-14,-21,-7,17,-3,-14,106,113,101,-44,0,-3
-14,-19,-5,16,-4,-12,82,107,97,-47,0,-3
-13,-18,-5,15,-4,-11,62,102,92,-54,0,-4
-13,-18,-5,15,-4,-11,48,97,87,-58,0,-4
-13,-21,-8,17,-2,-14,38,91,82,-53,0,-3
-13,-23,-10,18,-1,-16,29,87,81,-48,0,-3
-14,-26,-12,20,-1,-19,18,85,88,-48,0,-4
-14,-28,-14,21,0,-21,9,82,92,-52,0,-4
-12,-29,-17,20,2,-23,1,73,85,-58,0,-3
-9,-29,-20,19,5,-24,-3,63,73,-62,0,-3
-6,-28,-22,17,8,-25,-8,55,63,-66,0,-4
-4,-28,-24,16,10,-26,-13,53,58,-68,0,-4
-3,-33,-30,18,13,-31,-20,53,58,-65,0,-3
-3,-38,-35,20,16,-36,-28,53,58,-63,0,-3
-4,-44,-40,24,18,-42,-38,48,53,-62,0,-4
-4,-47,-43,25,19,-45,-47,43,48,-63,0,-4
-3,-48,-45,25,21,-46,-55,40,48,-60,0,-3
-3,-48,-45,25,21,-46,-62,39,48,-58,0,-3
-5,-47,-42,26,18,-44,-70,37,43,-56,0,-4
-8,-48,-40,28,16,-44,-77,34,39,-57,0,-4
-13,-47,-34,30,10,-40,-83,28,41,-61,0,-3
-18,-47,-29,32,5,-38,-86,24,47,-62,0,-3
-26,-50,-24,38,-1,-37,-87,25,52,-61,0,-4
-33,-52,-19,42,-7,-35,-87,28,53,-58,0,-4
-38,-55,-17,46,-10,-36,-85,29,50,-55,0,-3
-42,-57,-15,49,-13,-36,-82,29,48,-53,0,-3
-48,-60,-12,54,-18,-36,-78,28,47,-47,0,-4
-52,-62,-10,57,-21,-36,-73,28,47,-43,0,-4
-53,-65,-12,59,-20,-38,-67,31,48,-42,0,-3
-52,-67,-15,59,-18,-41,-63,33,48,-42,0,-3
-55,-70,-15,62,-20,-42,-61,36,46,-43,0,-4
-57,-72,-15,64,-21,-43,-58,38,47,-43,0,-3
-58,-73,-15,65,-21,-44,-49,41,52,-41,0,-3
-58,-72,-14,65,-22,-43,-39,43,57,-39,0,-3
-57,-73,-16,65,-20,-44,-31,41,58,-35,0,-4
-57,-73,-16,65,-20,-44,-28,39,58,-34,0,-4
-58,-68,-10,63,-24,-39,-31,38,57,-34,0,-4
-58,-63,-5,60,-26,-34,-34,39,58,-34,0,-4
-56,-59,-3,57,-26,-31,-30,40,58,-29,2,-3
-53,-57,-4,55,-24,-30,-19,52,72,-19,0,-4
-48,-59,-11,53,-18,-35,-3,85,111,1,-10,-3
-43,-62,-19,52,-12,-40,13,130,178,41,-14,-3
-38,-64,-26,51,-6,-45,27,177,270,109,-3,-4
-34,-63,-29,48,-2,-46,42,232,372,197,-13,-4
-28,-57,-29,42,0,-43,62,296,464,299,-71,-4
-24,-48,-24,36,0,-36,77,340,511,402,-125,-3
-20,-36,-16,28,-2,-26,78,333,485,499,-125,-3
-14,-24,-10,19,-2,-17,63,269,378,588,-116,-4
-4,-12,-8,8,2,-10,33,157,198,674,-152,-4
8,0,-8,-4,8,-4,-3,22,-14,772,-207,-3
21,13,-8,-17,14,2,-41,-113,-222,900,-238,-4
33,33,0,-33,16,16,-90,-254,-434,1073,-201,-3
44,65,21,-54,11,43,-159,-409,-664,1294,-82,-3
52,106,54,-79,-1,80,-237,-571,-906,1517,22,-4
60,148,88,-104,-14,118,-314,-735,-1154,1688,37,-4
72,189,117,-130,-22,153,-406,-922,-1431,1779,93,-4
90,222,132,-156,-21,177,-525,-1144,-1752,1766,310,-3
101,243,142,-172,-20,192,-636,-1356,-2057,1601,523,-3
95,249,154,-172,-29,201,-704,-1507,-2284,1243,538,-4
68,239,171,-153,-51,205,-735,-1598,-2422,698,362,-3
26,218,192,-122,-83,205,-746,-1646,-2478,3,85,-3
-13,195,208,-91,-110,201,-746,-1663,-2469,-715,-81,-3
-33,177,210,-72,-121,193,-740,-1657,-2412,-1319,12,-4
-38,156,194,-59,-116,175,-732,-1611,-2296,-1697,125,-4
-39,122,161,-41,-100,141,-721,-1515,-2118,-1791,11,-3
-39,82,121,-21,-80,101,-702,-1393,-1913,-1738,-158,-3
-39,49,88,-5,-63,68,-670,-1272,-1717,-1685,-167,-4
-39,24,63,7,-51,43,-625,-1149,-1526,-1607,-93,-4
