I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
146,-117,-263,-14,204,-190,58,107,58,39,48,-156
146,-117,-263,-14,204,-190,58,107,58,39,48,-156
146,-117,-263,-14,204,-190,58,107,58,39,48,-156
165,-107,-273,-29,219,-190,43,122,63,43,48,-156
190,-92,-283,-48,236,-187,14,131,82,39,48,-156
195,-92,-287,-51,241,-190,-4,141,87,48,53,-156
200,-87,-287,-56,244,-187,-24,156,92,48,63,-156
204,-87,-292,-58,248,-190,-43,141,92,48,53,-156
219,-73,-292,-73,256,-183,-68,131,92,48,48,-151
214,-73,-287,-70,251,-180,-92,122,97,43,39,-146
195,-78,-273,-58,234,-175,-92,117,102,48,43,-141
170,-78,-248,-46,209,-163,-97,102,102,53,53,-136
165,-78,-244,-43,204,-161,-112,39,82,43,43,-146
185,-82,-268,-51,226,-175,-122,-53,39,34,29,-146
185,-63,-248,-61,217,-156,-112,-117,4,24,29,-146
195,-48,-244,-73,219,-146,-112,-136,-24,19,24,-146
165,-34,-200,-65,183,-117,-102,-141,-24,24,34,-136
131,-34,-165,-48,148,-100,-97,-141,-29,29,34,-136
131,-34,-165,-48,148,-100,-102,-141,-34,34,29,-136
141,-43,-185,-48,163,-114,-122,-151,-53,34,24,-136
136,-43,-180,-46,158,-112,-146,-165,-73,14,14,-141
122,-48,-170,-36,146,-109,-146,-161,-78,9,9,-146
136,-53,-190,-41,163,-122,-146,-165,-78,4,4,-151
141,-58,-200,-41,170,-129,-151,-161,-78,-4,0,-156
146,-58,-204,-43,175,-131,-156,-146,-78,-4,-9,-165
180,-53,-234,-63,207,-143,-156,-146,-78,-4,-9,-165
204,-43,-248,-80,226,-146,-161,-141,-78,-4,-9,-165
219,-29,-248,-95,234,-139,-165,-136,-78,0,0,-165
209,-34,-244,-87,226,-139,-161,-146,-87,4,0,-156
244,-43,-287,-100,265,-165,-156,-136,-82,0,9,-156
234,-53,-287,-90,261,-170,-146,-131,-82,-4,14,-156
219,-78,-297,-70,258,-187,-131,-117,-73,4,14,-161
195,-92,-287,-51,241,-190,-117,-102,-48,4,14,-156
175,-107,-283,-34,229,-195,-112,-87,-48,4,14,-156
165,-107,-273,-29,219,-190,-97,-82,-53,-4,0,-156
146,-117,-263,-14,204,-190,-97,-82,-53,-4,0,-156
161,-126,-287,-17,224,-207,-87,-73,-43,-9,-14,-165
165,-126,-292,-19,229,-209,-82,-68,-43,-9,0,-165
170,-136,-307,-17,239,-222,-78,-63,-43,-14,0,-165
180,-136,-317,-21,248,-226,-73,-63,-48,-24,-4,-165
165,-141,-307,-12,236,-224,-68,-63,-63,-19,-14,-180
146,-146,-292,0,219,-219,-63,-63,-63,-24,-19,-180
131,-165,-297,17,214,-231,-53,-53,-63,-29,-19,-190
136,-170,-307,17,222,-239,-48,-53,-68,-34,-29,-200
151,-175,-326,12,239,-251,-34,-39,-63,-39,-34,-200
146,-180,-326,17,236,-253,-24,-34,-58,-39,-34,-200
141,-185,-326,21,234,-256,-9,-29,-53,-39,-29,-200
126,-180,-307,26,217,-244,-4,-29,-48,-39,-19,-200
126,-185,-312,29,219,-248,-4,-19,-48,-43,-29,-214
141,-195,-336,26,239,-265,0,-9,-43,-43,-34,-214
161,-190,-351,14,256,-270,0,-19,-43,-43,-43,-219
161,-175,-336,7,248,-256,-4,-24,-58,-53,-58,-219
170,-170,-341,0,256,-256,-14,-34,-63,-58,-68,-229
170,-170,-341,0,256,-256,-9,-34,-73,-68,-68,-229
170,-165,-336,-2,253,-251,-4,-29,-78,-73,-68,-229
165,-161,-326,-2,246,-244,-4,-29,-78,-78,-73,-229
175,-170,-346,-2,261,-258,-9,-29,-78,-78,-82,-229
175,-170,-346,-2,261,-258,-9,-24,-78,-78,-87,-229
165,-170,-336,2,251,-253,-4,-24,-78,-78,-87,-229
190,-170,-361,-9,275,-265,-4,-24,-73,-78,-82,-229
165,-185,-351,9,258,-268,9,-14,-68,-73,-68,-214
146,-190,-336,21,241,-263,19,-9,-63,-68,-63,-209
122,-190,-312,34,217,-251,29,-4,-58,-58,-58,-204
87,-185,-273,48,180,-229,34,0,-53,-53,-53,-200
107,-180,-287,36,197,-234,29,-4,-68,-63,-63,-204
131,-175,-307,21,219,-241,19,-9,-78,-73,-73,-214
141,-175,-317,17,229,-246,14,-14,-78,-78,-78,-219
141,-170,-312,14,226,-241,19,-19,-73,-78,-78,-224
136,-180,-317,21,226,-248,24,-4,-63,-78,-78,-209
136,-185,-322,24,229,-253,29,-4,-63,-78,-78,-209
146,-185,-331,19,239,-258,34,-4,-63,-78,-82,-209
151,-180,-331,14,241,-256,39,-9,-63,-78,-82,-209
151,-165,-317,7,234,-241,48,-4,-53,-78,-78,-195
151,-161,-312,4,231,-236,48,0,-53,-73,-68,-190
151,-156,-307,2,229,-231,48,4,-53,-68,-63,-185
151,-151,-302,0,226,-226,39,9,-58,-63,-63,-180
156,-165,-322,4,239,-244,39,-4,-78,-73,-73,-195
156,-170,-326,7,241,-248,34,-19,-82,-73,-78,-200
156,-170,-326,7,241,-248,24,-19,-82,-82,-78,-204
165,-165,-331,0,248,-248,14,-43,-102,-92,-97,-209
165,-165,-331,0,248,-248,14,-43,-107,-97,-92,-204
161,-170,-331,4,246,-251,14,-39,-102,-97,-92,-200
161,-175,-336,7,248,-256,14,-34,-92,-92,-92,-195
156,-180,-336,12,246,-258,14,-29,-82,-92,-92,-190
161,-175,-336,7,248,-256,24,-14,-78,-87,-73,-185
170,-170,-341,0,256,-256,29,-14,-78,-87,-73,-180
190,-156,-346,-17,268,-251,29,-14,-82,-82,-73,-175
200,-151,-351,-24,275,-251,24,-14,-82,-82,-73,-170
219,-151,-370,-34,295,-261,14,-34,-92,-92,-78,-170
209,-136,-346,-36,278,-241,14,-34,-97,-87,-87,-170
146,-126,-273,-9,209,-200,24,-14,-82,-78,-68,-151
161,-126,-287,-17,224,-207,14,-24,-78,-68,-63,-131
214,-92,-307,-61,261,-200,14,-34,-63,-43,-29,-102
102,-4,-107,-48,104,-56,58,9,14,58,78,14
39,97,58,-68,-9,78,82,68,97,161,209,126
126,146,19,-136,53,82,53,82,131,214,273,180
200,122,-78,-161,139,21,39,92,156,248,317,234
209,122,-87,-165,148,17,29,92,165,292,375,283
273,170,-102,-222,187,34,-9,63,170,346,473,331
341,204,-136,-273,239,34,-34,53,190,448,658,439
370,244,-126,-307,248,58,-58,43,248,644,985,619
458,326,-131,-392,295,97,-136,0,326,941,1488,854
610,400,-209,-505,409,95,-239,-58,429,1268,1986,1107
736,453,-283,-595,509,85,-326,-112,492,1459,2215,1288
800,492,-307,-646,553,92,-405,-146,522,1507,2132,1381
854,541,-312,-697,583,114,-473,-190,546,1537,1883,1415
966,561,-405,-763,685,78,-546,-224,570,1512,1566,1439
1063,497,-566,-780,814,-34,-580,-214,585,1405,1195,1439
1112,409,-702,-761,907,-146,-570,-165,639,1302,800,1376
1112,312,-800,-712,956,-244,-556,-156,590,1127,390,1176
1049,185,-863,-617,956,-339,-541,-195,336,649,-141,873
883,141,-741,-512,812,-300,-488,-175,68,68,-678,575
634,209,-424,-422,529,-107,-385,-53,-14,-307,-1019,429
385,307,-78,-346,231,114,-273,78,-19,-541,-1273,292
214,370,156,-292,29,263,-185,156,-39,-819,-1644,73
68,419,351,-244,-141,385,-112,229,-4,-980,-1917,-122
-87,458,546,-185,-317,502,-34,268,34,-1039,-2015,-253
-195,478,673,-141,-434,575,19,268,-68,-1298,-2142,-370
-239,405,644,-82,-441,524,68,292,-200,-1537,-2244,-531
-258,268,527,-4,-392,397,126,390,-161,-1522,-2166,-683
-263,156,419,53,-341,287,209,483,-92,-1444,-2039,-756
-253,29,283,112,-268,156,287,492,-131,-1415,-1932,-800
-175,-117,58,146,-117,-29,356,463,-219,-1346,-1786,-883
-97,-253,-156,175,29,-204,424,551,-244,-1234,-1615,-976
-73,-361,-287,217,107,-324,497,649,-268,-1180,-1488,-1029
-107,-395,-287,251,90,-341,541,673,-366,-1171,-1429,-1024
-165,-395,-229,280,31,-312,551,595,-546,-1166,-1390,-941
-156,-390,-234,273,39,-312,546,414,-780,-1180,-1322,-858
-112,-346,-234,229,61,-290,546,170,-956,-1190,-1254,-785
-122,-273,-151,197,14,-212,536,-43,-1005,-1146,-1161,-702
-126,-229,-102,178,-12,-165,541,-175,-1034,-1107,-1098,-658
-73,-219,-146,146,36,-183,531,-263,-1054,-1093,-1034,-634
-92,-209,-117,151,12,-163,522,-331,-1044,-1024,-946,-580
-117,-161,-43,139,-36,-102,507,-405,-1010,-927,-863,-512
-19,-82,-63,51,21,-73,453,-448,-932,-810,-761,-453
112,-48,-161,-31,136,-104,385,-424,-800,-678,-644,-385
131,-92,-224,-19,178,-158,307,-351,-644,-561,-556,-331
102,-141,-244,19,173,-192,209,-253,-492,-488,-473,-292
107,-146,-253,19,180,-200,141,-170,-375,-424,-395,-253
141,-122,-263,-9,202,-192,78,-112,-283,-361,-331,-219
151,-112,-263,-19,207,-187,39,-73,-219,-312,-278,-175
156,-117,-273,-19,214,-195,19,-58,-175,-244,-209,-126
165,-97,-263,-34,214,-180,39,-58,-141,-170,-165,-92
146,-78,-224,-34,185,-151,48,-39,-112,-126,-136,-63
195,-97,-292,-48,244,-195,24,-29,-82,-112,-136,-53
200,-92,-292,-53,246,-192,4,-43,-78,-126,-146,-58
229,-92,-322,-68,275,-207,-14,-48,-82,-136,-151,-63
239,-92,-331,-73,285,-212,-24,-53,-87,-151,-151,-73
244,-78,-322,-82,283,-200,-39,-68,-92,-161,-146,-78
234,-82,-317,-75,275,-200,-39,-63,-92,-146,-136,-73
244,-87,-331,-78,287,-209,-39,-68,-97,-136,-126,-68
224,-92,-317,-65,270,-204,-39,-68,-97,-126,-117,-63
209,-107,-317,-51,263,-212,-34,-58,-87,-107,-112,-58
214,-82,-297,-65,256,-190,-39,-63,-92,-117,-117,-48
239,-68,-307,-85,273,-187,-48,-73,-92,-117,-117,-48
234,-63,-297,-85,265,-180,-53,-78,-87,-122,-117,-48
219,-58,-278,-80,248,-168,-58,-68,-87,-122,-112,-48
229,-48,-278,-90,253,-163,-48,-68,-73,-112,-102,-43
224,-48,-273,-87,248,-161,-48,-73,-73,-112,-102,-39
219,-63,-283,-78,251,-173,-53,-73,-82,-112,-107,-34
219,-63,-283,-78,251,-173,-58,-73,-82,-112,-107,-29
209,-58,-268,-75,239,-163,-48,-73,-73,-102,-107,-24
224,-63,-287,-80,256,-175,-53,-73,-68,-102,-107,-24
219,-73,-292,-73,256,-183,-53,-73,-68,-97,-97,-24
204,-78,-283,-63,244,-180,-39,-73,-63,-97,-92,-24
204,-63,-268,-70,236,-165,-58,-78,-73,-112,-92,-24
200,-63,-263,-68,231,-163,-63,-78,-82,-112,-92,-24
195,-63,-258,-65,226,-161,-63,-82,-82,-112,-92,-24
190,-58,-248,-65,219,-153,-58,-82,-82,-102,-92,-24
214,-39,-253,-87,234,-146,-58,-73,-78,-82,-87,-14
234,-34,-268,-100,251,-151,-58,-82,-68,-82,-87,-14
268,-29,-297,-119,283,-163,-73,-92,-82,-102,-92,-14
297,-24,-322,-136,309,-173,-73,-92,-82,-112,-92,-14
273,-29,-302,-122,287,-165,-53,-87,-68,-102,-82,-14
248,-29,-278,-109,263,-153,-53,-82,-68,-102,-82,-14
244,-34,-278,-104,261,-156,-68,-78,-73,-102,-87,-14
